発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,売り上げ本数,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1983-07-15,任天堂,ドンキーコング,-,1,ACT,"￥4,500","￥4,500代",88,1,,宮本茂,駒野目裕久|飯沼実|西田充裕|村田泰裕(AC) |中郷俊彦(FC),宮本茂,兼岡行男,,山内溥|横井軍平(AC)|上村雅之(FC),🟥赤,AC移植,-,19位,-,
1983-07-15,任天堂,ドンキーコングJr.,-,1,ACT,"￥4,500","￥4,500代",0,1,,,緒方旗生(AC)|中郷俊彦(FC),宮本茂|宮本茂|坂本賀勇,兼岡行男,,横井軍平|岡田智(AC)|上村雅之(FC)|山内溥,⬜白,AC移植,-,-,-,
1983-07-15,任天堂,ポパイ,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1983-08-27,任天堂,五目ならべ連珠,-,1,TBL,"￥4,500","￥4,500代",0,1,,,,,兼岡行男,,,◾黒,-,-,-,-,
1983-08-27,任天堂,麻雀,-,1,TBL,"￥4,500","￥4,500代",213,1,,,,,,,,-,-,-,-,-,
1983-09-09,任天堂,マリオブラザーズ,-,1,ACT,"￥4,500","￥4,500代",163,1,,,,宮本茂,兼岡行男,,山内溥|横井軍平,🟨黄,対戦+AC移植,01位,10位,-,
1983-11-22,任天堂,ポパイの英語遊び,-,1,ETC,"￥4,500","￥4,500代",0,1,,,,,,,宮本茂,-,-,-,-,-,
1983-12-07,任天堂,ベースボール,-,1,SPT,"￥4,500","￥4,500代",235,1,,,,,,,,🟦青,対戦,12位,-,-,
1983-12-12,任天堂,ドンキーコングJr.の算数遊び,-,1,ETC,"￥4,500","￥4,500代",0,1,,,中郷俊彦,宮本茂,兼岡行男,,山内溥|上村雅之,-,-,-,-,-,
1984-01-14,任天堂,テニス,-,1,SPT,"￥4,500","￥4,500代",156,1,,,,,,,,-,対戦,16位,-,-,
1984-02-02,任天堂,ピンボール,-,1,TBL,"￥4,500","￥4,500代",0,1,,,,,,,,🟨黄,-,-,08位,-,
1984-02-18,任天堂,ワイルドガンマン,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1984-04-21,任天堂,ダックハント,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,清武博二,田中宏和,,横井軍平,-,-,-,-,-,
1984-05-01,任天堂,ゴルフ,-,1,SPT,"￥4,500","￥4,500代",246,1,,,,,,,,🟦青,-,-,-,-,
1984-06-12,任天堂,ホーガンズアレイ,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1984-06-21,任天堂,ファミリーベーシック,-,2,ETC,"￥14,800","￥15,000代",0,1,,,,,,,,-,-,-,-,-,
1984-07-04,任天堂,ドンキーコング3,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,宮本茂|宮本茂|坂本賀勇,田中宏和,,山内博(エグゼクティブ・プロデューサー)|横井軍平|岡田智,🟥赤,-,-,-,-,
1984-07-28,ハドソン,ナッツ＆ミルク,-,1,ACT,"￥4,500","￥4,500代",0,1,,,菊田昌昭|野沢勝広,菊田昌昭,,,,🟦青,-,-,-,-,
1984-07-31,ハドソン,ロードランナー,-,1,PZL,"￥4,500","￥4,500代",110,1,,,,ダグラス・E・スミス,,,,🟨黄,PC移植,-,-,-,
1984-09-07,ナムコ,ギャラクシアン,-,1,SHT,"￥4,500","￥4,500代",0,1,,,田城幸一,澤野和則(企画)|石村繁一(基板設計)|山下正|中馬義明|小野浩,石村繁一|安江正樹|甲斐敏夫,,,-,AC移植,-,-,-,
1984-10-05,任天堂,デビルワールド,-,1,ACT,"￥4,500","￥4,500代",0,1,,宮本茂,湯上裕之,手塚卓志,中塚章人|近藤浩治,,山内溥(エグゼクティブ・プロデューサー)|宮本茂,🟦青,-,-,-,-,
1984-11-02,任天堂,4人打ち麻雀,-,1,TBL,"￥4,500","￥4,500代",145,1,,,,,,,,-,-,-,-,-,
1984-11-02,任天堂,F1レース,-,1,RCG,"￥4,500","￥4,500代",152,1,,,,,,,,-,-,-,-,-,
1984-11-02,ナムコ,パックマン,-,1,ACT,"￥4,500","￥4,500代",0,1,,,舟木茂雄,岩谷徹|山下正,石村繁一|甲斐敏夫,,,-,AC移植,-,18位,-,
1984-11-08,ナムコ,ゼビウス,-,2,SHT,"￥4,900","￥5,000代",127,1,,,遠藤雅伸|深谷正一|小島伸一,遠藤雅伸|池上正寿|佐藤誠市|岡本進一郎|遠山茂樹|遠藤雅伸|小野浩|山下正,慶野由利子,,,◾黒,AC移植,-,03位,-,
1984-11-14,任天堂,アーバンチャンピオン,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,加納誠,田中宏和,,山内博(エグゼクティブ・プロデューサー)|横井軍平,🟦青,対戦,05位,-,-,
1984-11-14,ナムコ,マッピー,-,1,ACT,"￥4,500","￥4,500代",0,1,,,大野木宜幸|黒須一雄,佐藤英治(企画)|佐藤茂(基板設計)|小野浩(ドットデザイン),大野木宜幸,,,-,-,-,-,-,
1984-11-22,任天堂,クルクルランド,-,1,PZL,"￥4,500","￥4,500代",0,1,,,,加納誠|加納誠|清武博二,中塚章人,,山内博(エグゼクティブ・プロデューサー)|横井軍平,-,-,-,-,-,
1984-11-30,任天堂,エキサイトバイク,-,1,RCG,"￥5,500","￥5,500代",157,1,,宮本茂,中郷俊彦,前田実|手塚卓志,中塚章人,,山内溥|宮本茂,🟥赤,-,-,-,-,
1985-01-22,任天堂,バルーンファイト,-,1,ACT,"￥4,500","￥4,500代",0,1,,,中郷俊彦| 副島康成(AC)|岩田聡(FC),坂本賀勇,田中宏和,,山内溥|横井軍平,⬜白,対戦,07位,11位,-,
1985-01-30,任天堂,アイスクライマー,-,1,ACT,"￥4,500","￥4,500代",100,1,,三木研次,森田和明|中郷俊彦,宮本茂|杉山直,中塚章人,,山内溥|上村雅之,🟦青,対戦,06位,19位,-,
1985-02-11,ジャレコ,エクセリオン,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-02-21,任天堂,ファミリーベーシックV3,-,2,ETC,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1985-02-22,ハドソン,バンゲリングベイ,-,1,SHT,"￥4,900","￥5,000代",0,1,,,,ウィル・ライト,,,,◾黒,-,-,-,20位,
1985-03-14,ナムコ,ギャラガ,-,1,SHT,"￥4,500","￥4,500代",0,1,,,小川徹,横山茂,大野木宜幸,,,-,AC移植,-,14位,-,
1985-04-04,ジャレコ,フォーメーションZ,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,,渥美徳弘,,,-,AC移植,-,-,-,
1985-04-09,任天堂,サッカー,-,2,SPT,"￥4,900","￥5,000代",153,1,,,,,,,,-,-,-,-,-,
1985-04-17,タイトー,スペースインベーダー,-,1,SHT,"￥4,500","￥4,500代",0,1,,,西角友宏,西角友宏,亀井道行,,,-,AC移植,-,-,-,
1985-04-17,ハドソン,チャンピオンシップロードランナー,-,1,PZL,"￥4,900","￥5,000代",0,1,,,,ダグラス・E・スミス,,,,⬜白,-,-,-,13位,
1985-04-22,コナミ,イーアルカンフー,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,東野美紀,,,-,対戦+AC移植,14位,-,-,
1985-04-22,コナミ,けっきょく南極大冒険,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-05-10,ジャレコ,忍者くん魔城の冒険,-,1,ACT,"￥4,500","￥4,500代",0,1,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,-,AC移植,-,-,-,
1985-05-24,タイトー,ちゃっくんぽっぷ,-,1,PZL,"￥4,500","￥4,500代",0,1,,,,,今村善雄,,,-,AC移植,-,-,-,
1985-06-04,ナムコ,ディグダグ,-,1,ACT,"￥4,500","￥4,500代",0,1,,,さかいとしお|深谷正一,池上まさとし,慶野由利子,,,-,AC移植,-,-,-,
1985-06-14,デービーソフト,フラッピー,-,2,PZL,"￥5,500","￥5,500代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-06-18,任天堂,レッキングクルー,-,2,ACT,"￥5,500","￥5,500代",0,1,,岡田智,中村俊之|TOMOYO-chan|YASE SOBAJIMA|AKINA-chan,坂本賀勇|坂本賀勇|加納誠,田中宏和,,山内溥(エグゼクティブ・プロデューサー)|横井軍平,-,-,-,-,-,
1985-06-21,任天堂,スパルタンX,-,2,ACT,"￥4,900","￥5,000代",142,1,,,,,キース・モリソン,エドワード・タン|ジョニー・リー,,-,AC移植,-,-,-,
1985-06-21,コナミ,ハイパーオリンピック,-,1,SPT,"￥4,500","￥4,500代",0,1,,,森下繁,,福武茂,,石原祥吉,-,AC移植,-,-,-,
1985-06-21,コナミ,ハイパーオリンピック殿様版(限定発売),-,2,SPT,"￥4,500","￥4,500代",0,1,,,,,,,,-,AC移植,-,-,-,
1985-06-25,ハドソン,スターフォース,-,1,SHT,"￥4,900","￥5,000代",0,1,,,,,増子司|坂本慎一(ドライバー・効果音のみ),,,🟦青,AC移植,-,04位,-,
1985-06-28,タイトー,エレベーターアクション,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,今村善雄,,,-,AC移植,-,-,-,
1985-07-01,ジャレコ,フィールドコンバット,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,AC移植,-,-,-,
1985-07-11,コナミ,ロードファイター,-,1,RCG,"￥4,500","￥4,500代",0,1,,,,,佐々木嘉則,,,-,-,-,-,-,
1985-07-12,ナムコ,ワープマン,-,1,ACT,"￥4,500","￥4,500代",0,1,,,深谷正一|大森田不可止,小野浩,慶野由利子|小沢純子|大野木宜幸,,,-,-,-,-,-,
1985-07-18,アイレム,ジッピーレース,-,1,RCG,"￥4,500","￥4,500代",0,1,,,,,高木一郎,,,-,-,-,-,-,
1985-07-18,エニックス,ドアドア,-,1,PZL,"￥4,900","￥5,000代",0,1,,,,中村光一,,,,-,-,-,-,-,
1985-07-25,サンソフト,スーパーアラビアン,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-07-26,任天堂,ブロック,-,2,ETC,"￥4,800","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-08-01,タイトー,フロントライン,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-01,セタ,本将棋内藤九段将棋秘伝,-,1,TBL,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-06,ナムコ,ドルアーガの塔,-,2,ACT,"￥4,900","￥5,000代",0,1,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,,,-,-,-,-,17位,
1985-08-09,アスキー,アストロロボSASA,-,2,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-13,任天堂,ジャイロ,-,2,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1985-08-28,アスキー,ゲイモス,-,2,SHT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1985-08-30,アイレム,10ヤードファイト,-,1,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-09-09,ナムコ,バトルシティー,-,1,ACT,"￥4,500","￥4,500代",0,1,,,大久保良一,兵藤岳史|小野浩,小沢純子,,,-,-,-,-,-,
1985-09-13,任天堂,スーパーマリオブラザーズ,-,2,ACT,"￥4,900","￥5,000代",681,1,,宮本茂,中郷俊彦|森田和明|西田泰也,宮本茂|宮本茂|手塚卓志,近藤浩治,,山内溥|池田宏|宮本茂,🟨黄,-,-,06位,-,
1985-09-20,ハドソン,プーヤン,-,1,ACT,"￥4,900","￥5,000代",0,1,,藤原得郎,,藤原得郎,,,,⬜白,-,-,-,-,
1985-09-27,コナミ,ハイパースポーツ,-,1,SPT,"￥4,500","￥4,500代",0,1,,,町口浩康,,福武茂,,石原祥吉,-,-,-,-,-,
1985-09-27,ジャレコ,シティコネクション,-,1,RCG,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-10-04,サンソフト,ルート16ターボ,-,2,RCG,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-10-15,ハドソン,チャレンジャー,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,15位,
1985-11-08,バンダイ,キン肉マンマッスルタッグマッチ,-,1,ACT,"￥4,900","￥5,000代",105,1,,,,,,,仲田隆司,🟥赤,対戦,09位,-,-,
1985-11-14,タイトー,スカイデストロイヤー,-,1,SHT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-11-15,ポニーキャニオン,おにゃんこTOWN,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-11-15,ジャレコ,忍者じゃじゃ丸くん,-,1,ACT,"￥4,900","￥5,000代",100,1,,,,,,,関雅行,🟥赤,-,-,-,-,
1985-11-21,東芝ＥＭＩ,パチコン,-,2,TBL,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1985-11-21,ナムコ,パックランド,-,2,ACT,"￥4,500","￥4,500代",0,1,,,岸本好弘,佐藤誠市|根來司|小野浩,慶野由利子,,,-,AC移植,-,-,-,
1985-11-21,任天堂,マッハライダー,-,2,RCG,"￥4,900","￥5,000代",0,1,,,,,金指英樹,,,🟦青,-,-,-,-,
1985-11-27,ナムコ,バーガータイム,-,1,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,-,-,-,-,-,
1985-11-28,サンソフト,いっき,-,1,ACT,"￥4,900","￥5,000代",0,1,,,,,小井洋明,,,⬜白,-,-,-,-,
1985-11-29,エニックス,ポートピア連続殺人事件,-,2,ADV,"￥5,500","￥5,500代",0,1,,堀井雄二,堀井雄二,堀井雄二,,堀井雄二,,◾黒,-,-,-,-,
1985-12-05,ソフトプロ,カラテカ,-,1,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-12-05,ポニーキャニオン,ルナーボール,-,1,TBL,"￥4,900","￥5,000代",0,1,,仁井谷正充,新谷憲司,新谷憲司,宮本昌知,,,🟨黄,-,-,-,-,
1985-12-06,ナムコ,スターラスター,-,2,SHT,"￥4,900","￥5,000代",0,1,,,,岡本進一郎|遠山茂樹,川田宏行,,,-,-,-,-,-,
1985-12-06,アイレム,スペランカー,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,ティム・マーティン,,,,⬜白,-,-,-,07位,
1985-12-07,デービーソフト,高機動戦闘メカヴォルガードⅡ,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,斉藤康仁,,,-,-,-,-,-,
1985-12-10,ナムコ,超時空要塞マクロス,-,1,ACT,"￥4,500","￥4,500代",0,1,,石黒昇,,美樹本晴彦|宮武一貴|河森正治,羽田健太郎,山口宏,,-,-,-,-,-,
1985-12-11,カプコン,1942,-,2,SHT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1985-12-11,ケムコ,ダウボーイ,-,2,ACT,"￥5,300","￥5,500代",0,1,,,,ケン・コーテス,,,,🟦青,-,-,-,-,
1985-12-14,アスキー,ボコスカウォーズ,-,2,RPG,"￥5,500","￥5,500代",0,1,,,,住井浩司,,,,-,-,-,-,-,
1985-12-14,デービーソフト,頭脳戦艦ガル,-,2,SHT,"￥4,900","￥5,000代",0,1,,,ボス大森|ナンデ西村,バッキー松野|テツ加倉,斉藤康仁,,ベティ林,⬜白,-,-,-,-,
1985-12-16,バンダイ,オバケのQ太郎ワンワンパニック,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,08位,
1985-12-19,スクウェア,テグザー,-,2,ACT,"￥5,500","￥5,500代",0,1,,,,五代響|上坂哲,五代響,,,⬜白,-,-,-,-,
1985-12-19,ハドソン,バイナリィランド,-,1,PZL,"￥4,900","￥5,000代",0,1,,,菊田昌昭,菊田昌昭,,,,-,-,-,-,-,
1985-12-19,ハドソン,ボンバーマン,-,1,ACT,"￥4,900","￥5,000代",80,1,,,,,,,,◾黒,対戦,19位,15位,-,
1985-12-21,徳間書店,エグゼドエグゼス,-,2,SHT,"￥5,200","￥5,000代",0,1,,,青木隆,岡本吉起,河本圭代,,,🟨黄,-,-,-,-,
1985-12-21,徳間書店,ロットロット,-,2,PZL,"￥5,200","￥5,000代",0,1,,,,,,,,🟥赤,-,-,-,-,
1985-12-25,アスキー,ぺんぎんくんWARS,-,2,ACT,"￥5,500","￥5,500代",0,1,,,,藤沢勉,,,,-,-,-,-,-,
1986-01-04,コナミ,ツインビー,-,2,SHT,"￥4,900","￥5,000代",100,1,,,青山和浩,青山和浩,福武茂|佐々木嘉則,,廣下宏治,-,-,-,09位,-,
1986-02-08,カプコン,ソンソン,-,2,ACT,"￥4,900","￥5,000代",0,1,,,藤中博和,岡本吉起,河本圭代|森安也子,,,🟥赤,-,-,-,-,
1986-02-21,コナミ,グーニーズ,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,デイヴ・グルーシン,クリス・コロンバス,,-,-,-,-,-,
1986-03-01,東映動画,バルトロン,-,2,SHT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-03-04,ソフトプロ,サーカスチャーリー,-,1,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-03-05,ハドソン,忍者ハットリくん忍者は修行でござるの巻,-,2,ACT,"￥4,900","￥5,000代",150,1,,,,,,,,-,-,-,-,-,
1986-03-13,タイトー,ジャイロダイン,-,2,SHT,"￥4,900","￥5,000代",0,1,,,,,弓削雅稔,,,-,-,-,-,-,
1986-03-18,東芝ＥＭＩ,ハイドライドスペシャル,-,2,RPG,"￥4,900","￥5,000代",0,1,,,,,,,,⬜白,-,-,-,-,
1986-03-19,日本物産,マグマックス,-,2,SHT,"￥4,900","￥5,000代",0,1,,藤原茂樹,,藤原茂樹,山田良一,,,-,-,-,-,-,
1986-04-02,ナムコ,タッグチームプロレスリング,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-17,ジャレコ,アーガス,-,2,SHT,"￥4,900","￥5,000代",0,1,,,中里民雄,,坂本慎一,,,-,-,-,-,-,
1986-04-17,サンソフト,アトランチスの謎,-,2,ACT,"￥4,900","￥5,000代",0,1,,,竹内昭人|酒井敦史,竹内昭人,小高直樹,,,⬜白,-,-,-,12位,
1986-04-17,バンダイ,ゲゲゲの鬼太郎妖怪大魔境,-,2,ACT,"￥4,900","￥5,000代",125,1,,,,,,,,-,-,-,-,-,
1986-04-18,タイトー,影の伝説,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,小倉久佳,,,◾黒,-,-,-,-,
