発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1989-04-21,任天堂,アレイウェイ,1,1,PZL,"￥2,600","￥2,500代",0,,,,横井軍平,山本健誌,,,
1989-04-21,任天堂,スーパーマリオランド,1,2,ACT,"￥2,600","￥2,500代",419,,岡田智,山本雅央|原田貴裕,松岡洋史|真下雅彦,田中宏和,,横井軍平,
1989-04-21,任天堂,ベースボール,1,2,SPT,"￥2,600","￥2,500代",0,,,,,,,,
1989-04-21,任天堂,役満,1,1,TBL,"￥2,600","￥2,500代",128,,,,,,,,
1989-05-29,任天堂,テニス,1,1,SPT,"￥2,600","￥2,500代",0,,,,,,,,
1989-06-14,任天堂,テトリス,1,1,PZL,"￥2,600","￥2,500代",424,,,,,,,,
1989-07-28,HAL研究所,上海,1,1,PZL,"￥2,980","￥3,000代",0,,,,,,,,
1989-09-01,ポニーキャニオン,倉庫番,1,1,PZL,"￥3,090","￥3,000代",0,,,,今林宏行,,,,
1989-09-05,ケムコ,ミッキーマウス,1,2,ACT,"￥2,980","￥3,000代",0,,,,,,,,
1989-09-20,コナミ,モトクロスマニアックス,1,1,RCG,"￥2,900","￥3,000代",0,,,,,,,,
1989-09-21,バンダイ,ハイパーロードランナー,1,1,ACT,"￥2,800","￥3,000代",0,,,,,,,,
1989-10-18,HAL研究所,ピンボール66匹のワニ大行進,1,2,TBL,"￥2,980","￥3,000代",0,,,,,,,,
1989-10-27,コナミ,ドラキュラ伝説,1,2,ACT,"￥3,300","￥3,500代",0,,,山田善朗|前川正人,中里伸也|木村幸一,半沢紀雄|船内秀浩|福武茂,,,
1989-10-31,トンキンハウス,シーサイドバレー,1,2,SPT,"￥2,980","￥3,000代",0,,,,,,,,
1989-11-24,アトラス,パズルボーイ,1,1,PZL,"￥2,980","￥3,000代",0,,,,,増子司,,,
