発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2001-03-21,キューネット,EZ-TALK初級編1,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,キューネット,EZ-TALK初級編2,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,キューネット,EZ-TALK初級編3,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,キューネット,EZ-TALK初級編4,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,キューネット,EZ-TALK初級編5,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,キューネット,EZ-TALK初級編6,1,3,ETC,"￥6,000","￥6,000代",0,,,,,,,,
2001-03-21,任天堂,F-ZEROFORGAMEBOYADVANCE,1,2,RCG,"￥4,800","￥5,000代",0,,清水一伸,,清水一伸,田島賢 |古川光照|石田尚人,,出石武宏|山上仁志,
2001-03-21,コナミ,JGTO公認GOLFMASTER～JAPANGOLFTOURGAME～,3,3,SPT,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,コナミ,Jリーグポケット,1,3,SLG,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,エム・ティー･オー,アドバンスGTA,1,3,RCG,"￥4,980","￥5,000代",0,,,,,,,,
2001-03-21,コーエー,ウイニングポストforゲームボーイアドバンス,3,2,SLG,"￥5,600","￥5,500代",0,,,,,タケカワユキヒデ|新井智詞|山崎洋一|楠瀬誠志郎|小西貴雄,,シブサワ・コウ,
2001-03-21,任天堂,くるくるくるりん,1,2,ACT,"￥4,800","￥5,000代",0,,,渡邊康成,小田部羊一,,,佐藤浩(任天堂)|豊嶋真人(エイティング),
2001-03-21,コナミ,コナミワイワイレーシングアドバンス,1,2,RCG,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,任天堂,スーパーマリオアドバンス,5,2,ACT,"￥4,800","￥5,000代",64,,,,,,,,
2001-03-21,セガ,チュ-チュ-ロケット！,3,2,ACT,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,ケムコ,トゥイティーのハーティーパーティー,1,2,ETC,"￥4,980","￥5,000代",0,,,,,,,,
2001-03-21,任天堂,ナポレオン,1,3,SLG,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,カプコン,バトルネットワークロックマンエグゼ,1,3,RPG,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,コナミ,パワプロクンポケット3,1,3,SPT,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,ハドソン,ピノビィーの大冒険,1,2,ACT,"￥4,800","￥5,000代",0,,大島直人|菅野豊,,町田俊彦|菅野豊|大島直人|中川靖久|原田正道(アートディレクター),鎌谷千佳子,,石井洋児,
2001-03-21,スパイク,ファイヤープロレスリングA,3,3,SPT,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,コナミ,プレイノベルサイレントヒル,1,3,NOV,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,タム,ぼくは航空管制官,1,3,SLG,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,ナムコ,ミスタードリラー2,1,2,ACT,"￥4,800","￥5,000代",0,,,,,,,,
2001-03-21,コナミ,モンスターガーディアンズ,1,3,RPG,"￥5,800","￥6,000代",0,,,,,,,,
2001-03-21,コナミ,悪魔城ドラキュラCircleoftheMoon,1,3,ACT,"￥5,800","￥6,000代",0,,,,,,,,
