発売日,ハード,タイトル,メモリ,容量(bit),価格,ジャンル,ジョブカテゴリ,カウント
1999-03-04,WS,GUNPEY,0,0,🚧,PZL,0,0
1999-03-04,WS,チョコボの不思議なダンジョン  for ワンダースワン,0,0,🚧,RPG,0,0
1999-03-04,WS,新日本プロレスリング闘魂烈伝,0,0,🚧,SPT,0,0
1999-03-04,WS,電車でGO!,0,0,🚧,ETC,0,0
1999-03-04,WS,ぷよぷよ通,0,0,🚧,PZL,0,0
1999-03-04,WS,ワンダースタジアム,0,0,🚧,SPT,0,0
1999-03-04,WS,信長の野望 for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,麻雀登龍門,0,0,🚧,TBL,0,0
1999-03-04,WS,デジタルモンスター Ver.WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,海釣りに行こう！,0,0,🚧,SPT,0,0
1999-03-04,WS,語楽王 TANGO!,0,0,🚧,PZL,0,0
1999-03-04,WS,三國志 for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,上海Pocket,0,0,🚧,PZL,0,0
1999-03-04,WS,ナイスオン,0,0,🚧,SPT,0,0
1999-03-04,WS,元祖じゃじゃ丸くん,0,0,🚧,ACT,0,0
1999-03-04,WS,子育てクイズどこでもマイエンジェル,0,0,🚧,QIZ,0,0
1999-03-04,WS,beatmania for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT,0,0,🚧,RPG,0,0
1999-03-04,WS,メダロット・パーフェクトエディション（カブトバージョン）,0,0,🚧,RPG,0,0
1999-03-04,WS,メダロット・パーフェクトエディション（クワガタバージョン）,0,0,🚧,RPG,0,0
1999-03-04,WS,スペースインベーダー,0,0,🚧,SHT,0,0
1999-03-04,WS,ワンダースワンハンディーソナー,0,0,🚧,ETC,0,0
1999-03-04,WS,風のクロノア～Moonlight Museum～,0,0,🚧,PZL,0,0
1999-03-04,WS,SDガンダム エモーショナルジャム,0,0,🚧,SLG,0,0
1999-03-04,WS,ラストスタンド,0,0,🚧,RPG,0,0
1999-03-04,WS,カオスギア～導かれし者～,0,0,🚧,SLG,0,0
1999-03-04,WS,鉄拳カードチャレンジ,0,0,🚧,ACT,0,0
1999-03-04,WS,アンカーズ・フィールド,0,0,🚧,SLG,0,0
1999-03-04,WS,ヴァイツブレイド,0,0,🚧,RPG,0,0
1999-03-04,WS,トランプコレクション ボトムアップ的トランプ生活,0,0,🚧,TBL,0,0
1999-03-04,WS,パズルボブル,0,0,🚧,PZL,0,0
1999-03-04,WS,徹萬,0,0,🚧,TBL,0,0
1999-03-04,WS,新世紀エヴァンゲリオン シト育成,0,0,🚧,SLG,0,0
1999-03-04,WS,魔界村 for WonderSwan,0,0,🚧,ACT,0,0
1999-03-04,WS,クレイジークライマー,0,0,🚧,ACT,0,0
1999-03-04,WS,TERRORS,0,0,🚧,NOV,0,0
1999-03-04,WS,名探偵コナン　魔術師の挑戦状！,0,0,🚧,ADV,0,0
1999-03-04,WS,サッカーやろう！～Challenge The World～,0,0,🚧,SPT,0,0
1999-03-04,WS,Mobile Suit GUNDAM MSVS（エムエスバーサス）,0,0,🚧,SLG,0,0
1999-03-04,WS,競馬予想支援ソフト 予想進化論,0,0,🚧,ETC,0,0
1999-03-04,WS,ワンダースタジアム'99,0,0,🚧,SPT,0,0
1999-03-04,WS,格闘料理伝説ビストロレシピ～ワンダーバトル編～,0,0,🚧,RPG,0,0
1999-03-04,WS,ハロボッツ,0,0,🚧,RPG,0,0
1999-03-04,WS,プロ麻雀 極 for WonderSwan,0,0,🚧,TBL,0,0
1999-03-04,WS,電車でGO!2,0,0,🚧,ETC,0,0
1999-03-04,WS,マジカルドロップ for ワンダースワン,0,0,🚧,PZL,0,0
1999-03-04,WS,Engacho!(えんがちょ！)  for ワンダースワン,0,0,🚧,ETC,0,0
1999-03-04,WS,ロックマン＆フォルテ～未来からの挑戦者～,0,0,🚧,ACT,0,0
1999-03-04,WS,将棋登龍門,0,0,🚧,TBL,0,0
1999-03-04,WS,ミングルマグネット,0,0,🚧,PZL,0,0
