発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,⭐クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-10-30,ハドソン,ビックリマンワールド(Vol.2),PCE,2M,ACT,"￥4,500","￥4,500代",0,-,,,,,,,,
1987-10-30,ハドソン,上海(Vol.4),PCE,1M,PZL,"￥4,500","￥4,500代",0,-,,,,,,,,
1987-11-21,ハドソン,THE功夫(Vol.1),PCE,2M,ACT,"￥4,500","￥4,500代",0,-,,,,,,,,
1987-11-30,ハドソン,カトちゃんケンちゃん(Vol.6),PCE,2M,ACT,"￥4,900","￥5,000代",0,-,,,,,,,,
1987-12-28,ハドソン,ビクトリーラン(Vol.3),PCE,2M,RCG,"￥4,500","￥4,500代",0,-,,,,,,,,
1988-01-22,ハドソン,邪聖剣ネクロマンサー(Vol.5),PCE,2M,RPG,"￥4,500","￥4,500代",0,-,,,,,,,,
1988-02-05,ナムコ,妖怪道中記,PCE,2M,ACT,"￥4,900","￥5,000代",0,-,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
1988-03-25,ハドソン,R-TYPEI(Vol.7),PCE,2M,SHT,"￥4,900","￥5,000代",0,35,,,,,,,,
1988-04-22,ハドソン,遊々人生(Vol.8),PCE,2M,ETC,"￥4,500","￥4,500代",0,-,,,,,,,,
1988-05-20,ナムコ,プロ野球ワールドスタジアム,PCE,2M,SPT,"￥4,900","￥5,000代",0,35,,,天内潤,,川元義徳,,,
1988-06-03,ハドソン,R-TYPEII(Vol.9),PCE,2M,SHT,"￥4,900","￥5,000代",0,35,,,,,,,,
1988-07-08,ハドソン,戦国麻雀(Vol.10),PCE,2M,ETC,"￥4,900","￥5,000代",0,-,,,,,,,,
1988-07-15,ナムコ,ギャラガ'88,PCE,2M,SHT,"￥4,900","￥5,000代",0,-,,,,,川田宏行,,,
1988-07-24,ハドソン,パワーリーグ(Vol.11),PCE,2M,SPT,"￥4,900","￥5,000代",0,31,,,,,,,,
1988-08-11,ナムコ,プロテニスワールドコート,PCE,2M,SPT,"￥4,900","￥5,000代",0,33,,,,,慶野由利子,,,
1988-08-30,ハドソン,魔神英雄伝ワタル(Vol.12),PCE,2M,ACT,"￥4,900","￥5,000代",0,-,,,,,,,,
1988-09-14,ナグザット,エイリアンクラッシュ,PCE,2M,ETC,"￥5,500","￥5,500代",0,33,,,,,迫田敏明[要出典],,,
1988-09-23,メサイヤ,ガイアの紋章,PCE,2M,SLG,"￥5,200","￥5,000代",0,-,,,,,,,,
1988-09-23,ビクター音楽産業,魔境伝説(Vol.1),PCE,2M,ACT,"￥5,200","￥5,000代",0,-,,,,,,,,
1988-10-14,NECアベニュー,ファンタジーゾーン,PCE,2M,SHT,"￥5,900","￥6,000代",0,-,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1988-11-18,ハドソン,定吉七番(Vol.14),PCE,2M,ADV,"￥4,900","￥5,000代",0,-,,,,,,,,
1988-12-04,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,PCE,2M,SYS,"￥57,300","￥57,500代",0,-,,,,,,,,
