発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,価格帯,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1996-06-30,任天堂,スーパーマリオ64,2,1,ACT,"￥9,800","￥10,000代",192,,宮本茂,西田泰也|谷本義典|矢嶋肇|岩本大貴|岩脇敏夫|河越巧|Giles Goddard,中野祐輔|日野重文|小泉歓晃|滝澤智|有本正直,近藤浩治,,宮本茂,
1996-06-30,任天堂,パイロットウィングス64,2,1,SLG,"￥9,800","￥10,000代",14,,,,,,,,
1996-06-30,セタ,最強羽生将棋,1,1,TBL,"￥9,800","￥10,000代",0,,,,,,,,
1996-09-27,任天堂,ウェーブレース64,3,1,SPT,"￥9,800","￥10,000代",15,,亀山雅之,,,荒木泰介,,宮本茂,
1996-11-22,エニックス,ワンダープロジェクトJ2コルロの森のジョゼット,1,1,ADV,"￥9,800","￥10,000代",0,,,,,,,,
1996-11-29,セタ,栄光のセントアンドリュース,1,1,SPT,"￥9,800","￥10,000代",0,,,,,,,,
1996-12-14,任天堂,マリオカート64,2,2,RCG,"￥9,800","￥10,000代",224,,紺野秀樹,,,永田権太,,宮本茂,
1996-12-20,コナミ,実況Jリーグパーフェクトストライカー,1,1,SPT,"￥9,800","￥10,000代",11,,,,,,,,
1996-12-20,イマジニア,超空間ナイタープロ野球キング,1,1,SPT,"￥9,980","￥10,000代",10,,,,,,,,
1996-12-20,コナミ,麻雀MASTERマージャン,1,1,TBL,"￥9,800","￥10,000代",0,,,,,,,,
1997-03-14,コナミ,実況パワフルプロ野球4,1,2,SPT,"￥8,900","￥9,000代",18,,,,,,,,
1997-03-21,エポック社,ドラえもんのび太と3つの精霊石,2,1,ACT,"￥7,980","￥8,000代",0,,,,,,,,
1997-03-21,任天堂,ブラストドーザー,3,1,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1997-03-28,エレクトロニック・アーツ・ビクター,JリーグLIVE64,1,1,SPT,"￥9,800","￥10,000代",0,,,,,,,,
1997-03-28,ヒューマン,ヒューマングランプリザ・ニュージェネレーション,0,1,SPT,"￥9,800","￥10,000代",0,,,,,,,,
1997-04-04,光栄,麻雀64,1,1,TBL,"￥7,800","￥8,000代",0,,,,,,,,
1997-04-27,任天堂,スターフォックス64,2,2,SHT,"￥8,700","￥8,500代",57,,清水隆雄,森田和明,今村孝矢,近藤浩治|若井淑,高野充浩,宮本茂,
1997-05-30,アクレイムジャパン,時空戦士テュロック,1,1,ACT,"￥7,800","￥8,000代",0,,,ロバート・コーエン,デヴィッド・ディーンストビール|アラン・D・ジョンソン|ドン・パーリン(英語版),ダレン・ミッチェル,ジェフ・ゴメス(英語版)|ボブ・レイトン(英語版),デヴィッド・ディーンストビール,
1997-06-14,任天堂,スターウォーズ帝国の影,2,2,ACT,"￥7,800","￥8,000代",0,,,,,,,,
1997-06-27,エニックス,ゆけゆけ!!トラブルメーカーズ,2,1,ACT,"￥8,900","￥9,000代",0,,,,,,,,
1997-07-18,任天堂,ウェーブレース64振動パック対応バージョン,3,1,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1997-07-18,任天堂,スーパーマリオ64振動パック対応バージョン,2,1,ACT,"￥6,800","￥7,000代",0,,宮本茂,西田泰也|谷本義典|矢嶋肇|岩本大貴|岩脇敏夫|河越巧|Giles Goddard,中野祐輔|日野重文|小泉歓晃|滝澤智|有本正直,近藤浩治,,宮本茂,
1997-07-18,イマジニア,マルチレーシングチャンピオンシップ,1,2,RCG,"￥7,900","￥8,000代",0,,,,,,,,
1997-07-25,ビデオシステム,雀豪シミュレーション麻雀道64,1,1,TBL,"￥6,980","￥7,000代",0,,,,,,,,
1997-08-01,ゲームバンク,DOOM64,1,1,ACT,"￥7,800","￥8,000代",0,,,Aaron Seeler,Randy EstrellaTimothy Heydelaarダニー・ルイス|Sukru Gilman,オーブリー・ホッジズ,,,
1997-08-01,イマジニア,麻雀放浪記CLASSIC,0,2,TBL,"￥7,900","￥8,000代",0,,,,,,,,
1997-08-07,コナミ,がんばれゴエモン～ネオ桃山幕府のおどり～,1,3,ACT,"￥8,900","￥9,000代",14,,,,,,,,
1997-08-08,ハドソン,パワーリーグ64,1,1,SPT,"￥6,980","￥7,000代",0,,,,,,,,
1997-08-23,任天堂,ゴールデン・アイ007,2,2,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1997-09-05,イマジニア,Jリーグダイナマイトサッカー64,1,1,SPT,"￥7,500","￥7,500代",0,,,,,,,,
1997-09-18,コナミ,実況ワールドサッカー3,1,1,SPT,"￥7,500","￥7,500代",0,,,,,,,,
1997-09-26,ハドソン,爆ボンバーマン,3,1,ACT,"￥6,980","￥7,000代",17,,奥野仁,杉本悟|小林勲,印南好司|水野祥司|関島俊文|佐藤裕|芳賀覚,多田彰文,,中本伸一|遠藤英俊,
1997-10-24,ハドソン,Jリーグイレブンビート1997,1,1,SPT,"￥6,980","￥7,000代",0,,,,,,,,
1997-10-31,コンパイル,ぷよぷよSUN64,2,1,PZL,"￥5,980","￥6,000代",0,,,,,,,,
1997-11-21,任天堂,ディディーコングレーシング,3,2,RCG,"￥6,800","￥7,000代",65,,,,,,,,
1997-11-21,アテナ,プロ麻雀極64,1,1,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1997-11-28,ボトムアップ,64大相撲,3,3,SPT,"￥7,980","￥8,000代",0,,,,,,,,
1997-11-28,アムテックス/ショウエイシステム,HEIWAパチンコワールド64,2,1,TBL,"￥7,900","￥8,000代",0,,,,,,,,
1997-11-28,ナムコ,ファミスタ64,1,2,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1997-11-28,セタ,ワイルドチョッパーズ,2,1,SHT,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-05,コトブキシステム,TOPGEARRALLY,3,1,RCG,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-05,ハドソン,デュアルヒーローズ,1,2,ACT,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-12,日本システムサプライ,カメレオン・ツイスト,2,2,ACT,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-12,アトラス,スノボキッズ,1,1,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,コナミ,ハイパーオリンピックインナガノ64,1,2,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,ゲームバンク,ヘクセン,1,1,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,カルチャーブレーン,飛龍の拳ツイン,1,2,ACT,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-19,バンダイ,64で発見!たまごっちみんなでたまごっちワールド,3,2,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-19,ハドソン,ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒,2,1,ACT,"￥5,980","￥6,000代",0,,,,,,,,
1997-12-19,アスキー,エアロゲイジ,3,1,RCG,"￥7,800","￥8,000代",0,,,,,,,,
1997-12-19,アスミック,バーチャル・プロレスリング64,8,3,SPT,"￥6,800","￥7,000代",0,,岩下英幸,工藤正明|中山止禍,池下宗繁|門間毅|木村賢司|田村大也|遠山一仁|西田和希|畠祐基|葉山浩|矢口繁,,,,
1997-12-21,任天堂,ヨッシーストーリー,4,3,ACT,"￥6,800","￥7,000代",85,,紺野秀樹,中郷俊彦,日野重文,戸高一生,,手塚卓志,
1997-12-26,T＆Eソフト,遥かなるオーガスタMASTERS'98,1,3,SPT,"￥7,980","￥8,000代",0,,,,,,,,
