発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-10-30,ハドソン,ビックリマンワールド(Vol.2),-,2,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,
1987-10-30,ハドソン,上海(Vol.4),-,1,PZL,"￥4,500","￥4,500代",0,1,,,,,,,,
1987-11-21,ハドソン,THE功夫(Vol.1),-,2,ACT,"￥4,500","￥4,500代",0,1,,,,,,,,
1987-11-30,ハドソン,カトちゃんケンちゃん(Vol.6),-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,
1987-12-28,ハドソン,ビクトリーラン(Vol.3),-,2,RCG,"￥4,500","￥4,500代",0,1,,,,,,,,
1988-01-22,ハドソン,邪聖剣ネクロマンサー(Vol.5),-,2,RPG,"￥4,500","￥4,500代",0,1,,,,,,,,
1988-02-05,ナムコ,妖怪道中記,-,2,ACT,"￥4,900","￥5,000代",0,1,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
1988-03-25,ハドソン,R-TYPEI(Vol.7),35,2,SHT,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-04-22,ハドソン,遊々人生(Vol.8),-,2,ETC,"￥4,500","￥4,500代",0,1,,,,,,,,
1988-05-20,ナムコ,プロ野球ワールドスタジアム,35,2,SPT,"￥4,900","￥5,000代",0,1,,,天内潤,,川元義徳,,,
1988-06-03,ハドソン,R-TYPEII(Vol.9),35,2,SHT,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-07-08,ハドソン,戦国麻雀(Vol.10),-,2,ETC,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-07-15,ナムコ,ギャラガ'88,-,2,SHT,"￥4,900","￥5,000代",0,1,,,,,川田宏行,,,
1988-07-24,ハドソン,パワーリーグ(Vol.11),31,2,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-08-11,ナムコ,プロテニスワールドコート,33,2,SPT,"￥4,900","￥5,000代",0,1,,,,,慶野由利子,,,
1988-08-30,ハドソン,魔神英雄伝ワタル(Vol.12),-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-09-14,ナグザット,エイリアンクラッシュ,33,2,ETC,"￥5,500","￥5,500代",0,1,,,,,迫田敏明[要出典],,,
1988-09-23,メサイヤ,ガイアの紋章,-,2,SLG,"￥5,200","￥5,000代",0,1,,,,,,,,
1988-09-23,ビクター音楽産業,魔境伝説(Vol.1),-,2,ACT,"￥5,200","￥5,000代",0,1,,,,,,,,
1988-10-14,NECアベニュー,ファンタジーゾーン,-,2,SHT,"￥5,900","￥6,000代",0,1,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1988-11-18,ハドソン,定吉七番(Vol.14),-,2,ADV,"￥4,900","￥5,000代",0,1,,,,,,,,
1988-12-04,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,-,2,SYS,"￥57,300","￥57,500代",0,1,,,,,,,,
1988-12-09,NECアベニュー,スペースハリアー,-,4,SHT,"￥6,700","￥6,500代",0,1,,藤井睦弘(セガ・マークIII),三船敏(アーケード)|川竹英士(アーケード)|中裕司(セガ・マークIII),鈴木裕(アーケード)|麻生宏(アーケード)|津田知介(アーケード)|永田英朗(アーケード)|貞森康毅(セガ・マークIII),川口博史(アーケード)|鈴木裕(アーケード)|上保徳彦(セガ・マークIII),中裕司(セガ・マークIII)|藤井睦弘(セガ・マークIII)|百田浩司(セガ・マークIII),金成貫(アーケード)|中裕司(セガ・マークIII),
1988-12-16,ナムコ,ドラゴンスピリット,32,2,SHT,"￥5,500","￥5,500代",0,1,,YOKO BOSS,田中京太,OJISAN TRIO PLUS 1|石川達也|MACCHAN|ARAKAWA DA!,細江慎治,,,
1988-12-22,ハドソン,あっぱれゲートボール(Vol.13),-,2,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,
1989-01-14,アイレム,ビジランテ(Vol.1),30,3,ACT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-01-27,NECアベニュー,ソンソンII,-,2,ACT,"￥5,400","￥5,500代",0,1,,,,,,,,
1989-02-09,ハドソン,ネクタリス(Vol.16),31,3,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-02-23,メサイヤ,モトローダー,-,2,RCG,"￥5,200","￥5,000代",0,1,,,M.IWASHITA,大張正己,ガブリンサウンド,,白倉安昌,
1989-03-01,フェイス,はにい･いんざ･すかい,30,2,SHT,"￥5,200","￥5,000代",0,1,,,こうもりだんしゃく|ながさわみきや,熊倉賢一|ばばあつし|おのでらこうじ,岩永敦子,,三金堂,
1989-03-03,データイースト,ウイニングショット,-,2,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,
1989-03-04,ハドソン,ダンジョンエクスプローラ(Vol.15),-,3,A-PRG,"￥5,800","￥6,000代",0,1,,,,,,,,
