発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-11-21,任天堂,スーパーマリオワールド,34,2,ACT,"￥8,000","￥8,000代",355,16,,手塚卓志,中郷俊彦,日野重文,近藤浩治,,山内溥|宮本茂,
1990-11-21,任天堂,F-ZERO,37,2,RCG,"￥7,000","￥7,000代",90,16,,清水一伸,西田泰也,清水一伸|今村孝矢,神吉由美子|石田尚人,,山内溥|宮本茂,
1990-12-01,ケムコ,ボンバザル,-,2,PZL,"￥6,500","￥6,500代",0,0,,,ロス・グッドレー,デヴィッド・ビショップ|アンソニー・クラウザー,ロス・グッドレー,,,
1990-12-16,エニックス,アクトレイザー,-,4,ACT,"￥8,000","￥8,000代",40,64,,橋本昌哉,橋本昌哉|いまいゆき,古代彩乃|高井政彦|今井秋芳|横田幸次|七條たかし,古代祐三,宮崎友好,曽根康征,
1990-12-16,イマジニア,ポピュラス,31,2,SLG,"￥8,800","￥9,000代",0,64,,,,,,,,
1990-12-21,カプコン,ファイナルファイト,-,4,ACT,"￥8,500","￥8,500代",0,0,,,金子清巳|上山真一|Tomiyan|Yokoyan,西谷亮|安田朗,藤田晴美|藤田靖明|松前真奈美|坂口由洋|下村陽子|高岡宏光|民谷淳子,,岡本吉起,
1990-12-21,コナミ,グラディウスⅢ,33,2,SHT,"￥7,800","￥8,000代",0,0,,,橋本和久|徳田典|松花賢和|高浜元,三好威正|H.MORII|すえながみかよ,村岡一樹|上原和彦|上高治巳|森本ゆきえ,,,
1990-12-21,任天堂,パイロットウイングス,-,2,SPT,"￥8,000","￥8,000代",48,0,,杉山直,加藤周平|矢嶋肇|河越巧,スージー|森直樹,近藤浩治|岡素世,,宮本茂,
1990-12-29,バンプレスト,SDザ・グレイトバトル,-,3,ACT,"￥8,200","￥8,000代",0,0,,,,,,,,
1991-02-23,HAL研究所,ジャンボ尾崎のホールインワン,-,4,SPT,"￥8,900","￥9,000代",0,0,,,,,,,,
1991-03-20,ジャレコ,BIGRUN,-,4,RCG,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-03-29,タイトー,ダライアスツイン,-,4,SHT,"￥8,500","￥8,500代",0,0,,山崎こうじ,みなみやすたか|おぐらみつお|のぐちじゅんいちろう,山崎こうじ|宮永佳祐|川石徹|斎藤慎|わきたよしひろ,相澤静夫,,西角友宏|高橋章二,
1991-04-05,T＆Eソフト,遙かなるオーガスタ,30,4,SPT,"￥9,800","￥10,000代",0,64,,横山英二,加藤英治,中島健二,冨田茂,,横山俊朗,
1991-04-06,バンダイ,ウルトラマン,30,2,ACT,"￥7,800","￥8,000代",0,0,,,,,,金城哲夫 ほか,,
1991-04-26,任天堂,シムシティ,33,2,SLG,"￥8,000","￥8,000代",90,256,,,,,,,,
1991-05-17,ジャレコ,スーパープロフェッショナルベースボール,-,4,SPT,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-05-24,ケムコ,ドラッケン,-,4,RPG,"￥8,500","￥8,500代",0,64,,,,ステファン・バウデット|リチャード・ボテット|マイケル・ロイヤー|ローレン・サルメロン|ドミニク・ジルー|フレデリック・バスク,チャールズ・カレ,フランソワ・マルスラ=フロワドヴァル,,
1991-05-28,セタ,ガデュリン,-,4,RPG,"￥8,800","￥9,000代",0,64,,,,富永真理|近永健一|加藤直之(ゲストメカ),加藤みちあき,島田満,,
1991-06-21,トンキンハウス,イースⅢワンダラーズフロムイース,-,4,RPG,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-02,セタ,スーパースタジアム,-,4,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-06,バンダイ,機動戦士ガンダムF91フォーミュラー戦記0122,-,4,SLG,"￥9,500","￥9,500代",0,64,,,,川元利浩|大河原邦男,富樫則彦,,,
1991-07-12,カルチャーブレーン,スーパーウルトラベースボール,-,2,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-13,アイレム,スーパーアールタイプ,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-07-19,コナミ,がんばれゴエモンゆき姫救出絵巻,-,4,ACT,"￥8,800","￥9,000代",0,0,,,梅崎重治|松岡伸浩|奥田康雄|下野俊典|吉田晃之,村木摂|藤本武史|小川公一|薬師寺健雄,上原和彦|上高治己,,,
1991-07-19,スクウェア,ファイナルファンタジーⅣ,36,4,RPG,"￥8,800","￥9,000代",143,64,,坂口博信,成田賢,時田貴司|天野喜孝,植松伸夫,時田貴司,宮本雅史,
1991-07-20,バンプレスト,バトルドッジボール闘球大激突,-,4,SPT,"￥9,600","￥9,500代",0,64,,,,,,,,
1991-07-26,カプコン,エリア88,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,岡田敏靖|神志那弘志|佐藤道明,三宅一徳,大野木寛|野村祐一,,
1991-08-09,エピック・ソニーレコード,白熱プロ野球ガンバリーグ,30,4,SPT,"￥8,500","￥8,500代",0,64,,,,,,,,
1991-08-23,セタ,初段森田将棋,-,2,TBL,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-08-30,トンキンハウス,スーパーテニスワールドサーキット,-,2,SPT,"￥7,800","￥8,000代",0,0,,,,,,,,
1991-08-31,HAL研究所,ハイパーゾーン,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,石川淳,,,
1991-09-13,エピック・ソニーレコード,ジェリーボーイ,-,4,ACT,"￥8,500","￥8,500代",0,0,,田尻智,マーク・フリント,田尻智|杉森建|とみさわ昭仁|杉森建|MUCHO TANAKA,福田裕彦,田尻智|杉森建,清本浩,
1991-09-15,光栄,スーパー三國志Ⅱ,-,4,SLG,"￥14,800","￥15,000代",0,256,,,,,向谷実,,シブサワ・コウ,
1991-09-20,イマジニア,プロサッカー,-,2,SPT,"￥8,000","￥8,000代",0,16,,,,,,,,
1991-10-04,カプコン,超魔界村,-,4,ACT,"￥8,500","￥8,500代",0,0,,,篠原雅嗣|まついよしひろ,三並達也|山添公雄|松下進,山口真理,,藤原得郎,
1991-10-25,ジャレコ,SUPERE.D.F.,-,4,SHT,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-10-29,スクウェア,ファイナルファンタジーⅣイージータイプ,31,4,RPG,"￥9,000","￥9,000代",0,64,,坂口博信,成田賢,時田貴司|天野喜孝,植松伸夫,時田貴司,宮本雅史,
1991-10-31,コナミ,悪魔城ドラキュラ,-,4,ACT,"￥8,800","￥9,000代",0,0,,赤松仁司,岡出光弘,戸隠のりやす,山下絹代|寺島里恵,,永田昭彦,
1991-11-21,任天堂,ゼルダの伝説神々のトライフォース,39,4,ARPG,"￥8,000","￥8,000代",116,64,,手塚卓志,中郷俊彦|副島康成|森田和明,富田聡一郎|今村孝矢|有本正直|渡辺剛,近藤浩治,田邊賢輔,山内溥|宮本茂,
1991-11-29,東映動画,雷電伝説,-,4,SHT,"￥8,700","￥8,500代",0,0,,濱田均,K.KONDO|川口哲也|S.MORI,川口哲也|T.WADA|M.KOMAZAWA|T.MATSUZAWA|H.MATSUO,佐藤亜希羅,,濱田均,
1991-12-06,データイースト,JOE＆MAC戦え原始人,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-12-13,ナムコ,スーパーワギャンランド,30,4,ACT,"￥8,300","￥8,500代",0,0,,,,,,,,
1991-12-13,ケムコ,ラグーン,-,4,RPG,"￥8,500","￥8,500代",0,64,,,,,,,,
1991-12-13,ヒューマン,スーパーフォーメーションサッカー,31,2,SPT,"￥7,700","￥7,500代",0,0,,,,,,,,
1991-12-13,エポック社,ちびまる子ちゃん「はりきり365日」の巻,-,2,TBL,"￥8,800","￥9,000代",0,0,,,,,,,,
1991-12-18,サンソフト,レミングス,35,4,PZL,"￥8,500","￥8,500代",0,0,,,デイブ・ジョーンズ(英語版),ゲイリー・ティモンズ|スコット・ジョンストン,ブライアン・ジョンストン|ティム・ライト(英語版),,,
1991-12-20,ビクターエンタテインメント,ダンジョンマスター,30,4,RPG,"￥9,800","￥10,000代",0,256,,,,,,,,
1991-12-20,アスミック,ディメンションフォース,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-12-20,ヒューマン,スーパーファイヤープロレスリング,-,4,SPT,"￥8,500","￥8,500代",0,0,,,根津重昭|吉田秀司|野村弘治,増田雅人|市瀬大輔|きたむららだあき|茶々丸|高岡謙次|高岡謙次|門間毅,庭山博也|田中宏典|山崎正通|大谷哲司|鈴木啓史,,林徹,
1991-12-21,エンジェル,SDガンダム外伝ナイトガンダム物語大いなる遺産,-,4,RPG,"￥9,500","￥9,500代",0,64,,,,,,,,
1991-12-21,光栄,スーパー信長の野望武将風雲録,-,4,SLG,"￥11,800","￥12,000代",0,256,,,,,菅野よう子,,シブサワ・コウ,
1991-12-27,ナツメ,反省ザルジローくんの大冒険,-,2,ACT,"￥7,000","￥7,000代",0,0,,,,,,,,
1991-12-27,東芝EMI,サンダースピリッツ,-,4,SHT,"￥8,600","￥8,500代",0,0,,,,,,,,
1991-12-28,カルチャーブレーン,スーパーチャイニーズワールド,-,4,RPG,"￥8,800","￥9,000代",0,0,,阿迦手観屋夢之助,たちばなあきら,しいなつかさ|かわはらひとみ|ましばけいこ,沢彰記,さとうけんたろう,阿迦手観屋夢之助,
1991-12-29,イマジニア,シムアース,-,3,SLG,"￥9,600","￥9,500代",0,64,,,ダニエル・ゴールドマン|ポール・シュミット,フレッド・ハスラム|ウィル・ライト|ケイトリン・ミシェルデイトン|ピーター・ミシェルデイトン|ジェニー・マーティン|スーザン・グリーン,ヒース・ペーターソン,,スティーヴ・ベッカート,
1991-12-29,バンプレスト,バトルコマンダー八武衆修羅の兵法,-,4,SLG,"￥9,800","￥10,000代",0,256,,,,,,,,
