発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1988-10-29,セガ,スーパーサンダーブレード,31,3,SHT,"￥5,800","￥6,000代",0,MD,,,,,並木晃一,,,
1988-10-29,セガ,スペースハリアーII,30,3,SHT,"￥5,800","￥6,000代",0,MD,,,,,,,,
1988-11-27,セガ,獣王記,-,3,ACT,"￥5,800","￥6,000代",0,MD,,,穂苅健一(AC)|浅井敏典(MD)|松田達夫(MD)|百田浩司(MD),内田誠(AC)|安原広和(AC)|NO NUKES(MD)|HAGA(AC)|梶本隆博(AC)|小玉理恵子(MD)|UDI(MD),中林亨(AC)|長井和彦(MD),,,
1988-12-24,セガ,おそ松くんはちゃめちゃ劇場,-,2,ACT,"￥5,500","￥5,500代",0,MD,,,,,,,,
1989-02-10,セガ,アレックスキッド天空魔城,-,2,ACT,"￥5,500","￥5,500代",0,MD,,林田浩太郎,中裕司,林田浩太郎|安原広和|小玉理恵子|大島直人|湯田高志|小林陽子|山口恭史,鎌谷千佳子|上保徳彦|長井和彦,,,
1989-03-21,セガ,ファンタシースターII還らざる時の終わりに,-,5,RPG,"￥8,000","￥8,000代",11,MD,,青木千恵子,中裕司,小玉理恵子|大島直人|山口恭史|柴田和幸|米田仁士,上保徳彦,青木千恵子,中裕司,
1989-04-22,セガ,スーパーリーグ,-,3,SPT,"￥5,800","￥6,000代",0,MD,,,,,,,,
1989-04-29,セガ,スーパー大戦略,31,3,SLG,"￥6,800","￥7,000代",0,MD,,,,,,,,
1989-06-15,テクノソフト,サンダーフォースIIMD,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1989-07-01,セガ,北斗の拳新世紀末救世主伝説,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,フランク・ワイルドホーン,高橋亜子,,
1989-07-29,セガ,ワールドカップサッカー,-,2,SPT,"￥5,500","￥5,500代",0,MD,,,,,,,,
1989-08-03,セガ,大魔界村,31,4,ACT,"￥6,800","￥7,000代",8,MD,,,小池ひろし|篠原雅嗣|上山真一|菅原伸育,藤原得郎|吉本伸一|山本尚司,河本圭代,,,
1989-09-09,セガ,尾崎直道のスーパーマスターズ,-,3,SPT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1989-10-06,アスミック,スーパーハイドライド,-,3,RPG,"￥7,900","￥8,000代",0,MD,,,,,,,,
1989-10-06,セガ,スーパーハングオン,-,3,RCG,"￥6,000","￥6,000代",0,MD,,浜垣博志,,,林克洋|並木晃一,,,
1989-10-21,セガ,ランボーIII,-,2,ACT,"￥5,500","￥5,500代",0,MD,,,,,,,,
1989-11-18,セガ,フォゴットンワールズ,-,3,SHT,"￥6,000","￥6,000代",0,MD,,,江川陽一|こじまのりこ|TAKEYO|山之内一雅,安田朗|西谷亮|船水紀孝|岡本吉起|栗原明美|TAKATA|SHINSYUDON|新谷さゆり|EMETARO,河本圭代|坂口由洋,,,
1989-11-25,セガ,孔雀王2幻影城,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,越智博之(1)|摩砂雪(2)|岸田隆宏(3)|小池健|阿部恒,,荻野真,,
1989-12-02,セガ,ザ・スーパー忍,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,溝口松秀|KOTTSU,大場規勝|静岡太郎|湯田高志|清宮敦嗣,古代祐三,,山本圭一,
1989-12-09,セガ,TATSUJIN,-,3,SHT,"￥6,000","￥6,000代",0,MD,,,弓削雅稔,荻原直樹|清水由美子,弓削雅稔,,弓削雅稔,
1989-12-14,セガ,マージャンCOP竜白狼の野望,-,2,TBL,"￥5,500","￥5,500代",0,MD,,,,,,,,
