🕑プレイ時間,タイプ,LV,調子,出現地方,モンスター名,系統,未使用,カウント,HP,MP,⚔️攻撃力,🛡️守備力,🏃‍♂️素早さ,💡賢さ,🏃‍♂️身かわし,💰経験値,💰GOLD,行動,🪄魔法,🏃‍♂️逃げるか？,仲間をよぶか？,🎁ドロップアイテム,🎁アイテムの入手確率※,耐性※
2000-01-01,⚔️️戦士系,1,-,アリアハン周辺,スライム⚔️️(1),スライム族,0,1,8,0,9,5,4,1,0,4,2,-,,はい,-,🍃薬草,F,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻×|眠×|吸◎|封◎|乱×|守×|早×
2000-01-02,⚔️️戦士系,1,-,アリアハン周辺,おおがらす⚔️️(1),鳥族,0,1,9,0,10,6,6,1,1,6,3,-,,いいえ,-,🍃薬草,E,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠×|吸◎|封◎|乱×|守×|早×
2000-02-01,⚔️️戦士系,2,-,アリアハン西周辺（夜）,いっかくうさぎ⚔️️(2),未分類,0,1,10,0,12,8,5,1,0,8,3,-,,はい,-,🍃薬草,B,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠×|吸◎|封◎|乱×|守×|早×
2001-01-01,⚔️️戦士系,3,-,レーベ周辺,おおありくい⚔️️(3),未分類,0,1,13,0,13,8,6,1,0,12,4,-,,いいえ,-,🎩かわのぼうし,D,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠△|吸◎|封◎|乱×|守×|早×
2002-01-01,🪄魔法系,3,-,ナジミの塔B1～3F,じんめんちょう🪄(3),昆虫族,0,1,12,5,11,7,8,2,1,9,4,-,⬇️マヌーサ,いいえ,-,✨キメラのつばさ,D,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻×|眠△|吸△|封×|乱×|守×|早×
2002-01-02,⚔️️戦士系,3,-,ナジミの塔B1～3F,フロッガー⚔️️(3),未分類,0,1,15,0,14,8,7,0,1,12,5,-,,いいえ,-,🍃薬草,B,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠×|吸◎|封◎|乱×|守×|早×
2002-02-01,⚔️️戦士系,4,-,ナジミの塔1F～3F,バブルスライム⚔️️(4),スライム族,0,1,10,0,16,9,12,1,0,16,8,どく攻撃,-,はい,-,🍃毒消し草,A,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻×|眠○|吸◎|封◎|乱×|守×|早×
2002-03-01,🪄魔法系,4,-,ナジミの塔3F,まほうつかい🪄(4),未分類,0,1,23,4,15,15,13,2,0,20,10,-,🔥メラ,はい,-,💊せいすい,D,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠×|吸×|封×|乱△|守×|早×
2002-03-02,⚔️️戦士系,4,-,ナジミの塔3F,さそりばち⚔️️(4),未分類,0,1,12,0,18,11,10,1,0,14,6,-,,いいえ,仲間を呼ぶ,🌱ラックのたね,E,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻×|眠×|吸◎|封◎|乱×|守×|早×
2001-02-01,🪄魔法系,4,-,レーベ東周辺,ホイミスライム🪄(4),未分類,0,1,30,999,14,10,15,0,0,24,8,-,💖ホイミ,いいえ,-,🌱ちからのたね,E,炎○|ヒ○|バ△|デ×|死△|犠×|光◎|幻×|眠○|吸○|封◎|乱△|守×|早×
2003-01-01,⚔️️戦士系,4,-,いざないの洞窟B2～B3,おばけありくい⚔️️(4),未分類,0,1,21,0,20,9,10,1,0,12,7,-,,はい,-,🍃薬草,B,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠△|吸◎|封◎|乱△|守△|早×
2001-03-01,🪄魔法系,4,-,レーベ東周辺（夜）,アルミラージ🪄(4),未分類,0,1,20,6,21,12,9,2,1,14,8,-,😴ラリホー,はい,-,🎩かわのぼうし,D,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻×|眠△|吸○|封×|乱△|守×|早△
2004-01-01,⚔️️戦士系,5,-,ロマリア周辺,ポイズントード⚔️️(5),未分類,0,1,25,0,24,12,12,0,1,20,9,どく攻撃,-,はい,-,🍃毒消し草,B,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻△|眠△|吸◎|封◎|乱×|守×|早×
2003-01-02,🪄魔法系,6,-,いざないの洞窟B2～B3,キャタピラー🪄(6),未分類,0,1,50,7,33,25,11,2,0,35,12,-,⚔️⬆️スクルト,いいえ,-,🍃薬草,B,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠×|吸△|封×|乱×|守×|早×
2004-02-01,🪄魔法系,6,-,ロマリア周辺（夜）,こうもりおとこ🪄(6),未分類,0,1,28,5,30,24,15,2,1,29,18,-,⬇️マホトーン,いいえ,-,🗡️せいなるナイフ,D,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻△|眠△|吸△|封△|乱×|守△|早×
2004-01-02,🪄魔法系,7,-,ロマリア周辺,アニマルゾンビ🪄(7),未分類,0,1,50,30,28,4,11,2,0,29,15,-,🏃⬇️ボミオス,いいえ,-,💎いのちのきのみ,E,炎×|ヒ×|バ×|デ×|死×|犠×|光△|幻×|眠◎|吸△|封×|乱×|守×|早×
2005-01-01,⚔️️戦士系,6,-,カザーブ周辺,キラービー⚔️️(6),未分類,0,1,25,0,32,15,13,1,1,26,13,マヒ攻撃,-,はい,-,🍃まんげつそう,A,炎△|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠△|吸◎|封◎|乱×|守×|早△
2005-01-02,⚔️️戦士系,8,-,カザーブ周辺,ぐんたいガニ⚔️️(8),未分類,0,1,28,0,32,60,12,1,1,35,12,-,,いいえ,仲間を呼ぶ,👕たびびとのふく,D,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早○
2006-01-01,🪄魔法系,8,-,シャンパーニの塔1F～5F,ギズモ🪄(8),未分類,0,1,25,18,22,14,28,2,1,35,14,-,🔥メラ,いいえ,-,🌱スタミナのたね,E,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻◎|眠◎|吸×|封×|乱×|守×|早△
2006-02-01,⚔️️戦士系,9,-,シャンパーニの塔3F～5F,おばけキノコ⚔️️(9),未分類,0,1,24,0,30,12,8,0,0,39,18,あまいいき,-,はい,-,💊せいすい,C,炎×|ヒ×|バ×|デ×|死×|犠×|光○|幻○|眠△|吸◎|封◎|乱◎|守△|早×
2006-02-02,⚔️️戦士系,9,-,シャンパーニの塔3F～5F,どくイモムシ⚔️️(9),未分類,0,1,35,0,40,16,14,1,0,47,20,どくのいき,-,はい,-,🍃毒消し草,A,炎△|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠△|吸◎|封◎|乱×|守×|早×
2007-01-01,🪄魔法系,9,-,ノアニール周辺,デスフラッター🪄(9),未分類,0,1,25,20,36,18,14,1,2,45,22,-,,はい,-,🌱すばやさのたね,D,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻△|眠△|吸◎|封×|乱×|守×|早△
2007-02-01,🪄魔法系,10,-,ノアニール周辺（夜）,バリイドドッグ🪄(10),未分類,0,1,40,4,42,22,16,2,0,53,14,-,🛡️⬇️ルカナン,いいえ,-,🌱かしこさのたね,E,炎△|ヒ×|バ×|デ×|死×|犠×|光△|幻△|眠○|吸◎|封×|乱×|守△|早△
2008-01-01,⚔️️戦士系,10,-,ノアニール西の洞窟B1～B4,マタンゴ⚔️️(10),未分類,0,1,30,0,43,25,15,1,0,56,20,"ねむり攻撃,あまいいき",-,はい,-,✨キメラのつばさ,C,炎△|ヒ×|バ×|デ×|死×|犠×|光◎|幻△|眠△|吸◎|封◎|乱×|守△|早×
2007-01-02,⚔️️戦士系,0,-,ノアニール周辺,あやしいかげ⚔️️(0),未分類,0,1,0,0,0,0,0,0,0,0,0,-,,いいえ,-,-,-,
2008-01-02,🪄魔法系,10,-,ノアニール西の洞窟B1～B4,バンパイア🪄(10),未分類,0,1,35,9,51,28,19,1,1,61,25,-,❄️ヒャド,いいえ,-,🌱ラックのたね,D,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠△|吸○|封×|乱△|守×|早△
2008-02-01,🪄魔法系,10,-,ノアニール西の洞窟B3～B4,ひとくいが🪄(10),未分類,0,1,26,4,49,35,17,0,2,55,15,どく攻撃,⬇️マヌーサ,はい,仲間を呼ぶ,どくばり,E,炎△|ヒ×|バ×|デ×|死×|犠×|光◎|幻×|眠△|吸△|封×|乱×|守×|早○
2004-01-03,⚔️️戦士系,11,-,ロマリア周辺,さまようよろい⚔️️(11),未分類,0,1,55,0,47,50,10,1,0,68,30,痛恨の一撃,-,いいえ,ホイミスライムを呼ぶ,🗡️どうのつるぎ,D,炎△|ヒ×|バ×|デ×|死◎|犠×|光○|幻△|眠○|吸◎|封◎|乱◎|守×|早×
2009-01-01,⚔️️戦士系,11,-,アッサラーム周辺,キャットフライ⚔️️(11),未分類,0,1,40,4,48,49,28,2,1,65,20,痛恨の一撃,⬇️マホトーン,はい,-,🧸ぬいぐるみ,F,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸△|封△|乱△|守△|早△
2010-01-01,🪄魔法系,11,-,ピラミッドB2～6F,だいおうガマ🪄(11),未分類,0,1,38,30,49,37,18,1,1,70,23,-,😴ラリホー,いいえ,-,🔗とげのむち,D,炎△|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸△|封△|乱△|守×|早×
