日付,都道府県,立候補者名,性別,年齢,政党,職業,職業カテゴリ(未使用),議席数,職業カテゴリ,選挙制度,現職・元職・新人,当選回数,推薦,性別>年齢,政党>性別,政党>年齢,政党>都道府県,政党>職業カテゴリ
2025-07-20,北海道,高橋･はるみ♀(71),♀女性,71,自民,元北海道知事,0,1,首長,選挙区,現,2,-,,,,,
2025-07-20,北海道,勝部･賢志♂(65),♂男性,65,立民,元北海道議会議員,0,1,議員,選挙区,現,2,社民,,,,,
2025-07-20,北海道,岩本･剛人♂(60),♂男性,60,自民,元北海道議会議員,0,1,議員,選挙区,現,2,公明,,,,,
2025-07-20,青森県,福士･珠美♀(60),♀女性,60,立民,元青森テレビアナウンサー,0,1,アナウンサー,選挙区,新,1,社民,,,,,
2025-07-20,岩手県,横澤･高徳♂(53),♂男性,53,立民,元パラリンピックアルペンスキー日本代表,0,1,アスリート,選挙区,現,2,-,,,,,
2025-07-20,宮城県,石垣･のりこ♀(50),♀女性,50,立民,元エフエム仙台アナウンサー,0,1,アナウンサー,選挙区,現,2,-,,,,,
2025-07-20,秋田県,寺田･静♀(50),♀女性,50,無,元衆議院議員秘書,0,1,政治スタッフ,選挙区,現,2,-,,,,,
2025-07-20,山形県,芳賀･道也♂(67),♂男性,67,無,元山形放送アナウンサー,0,1,アナウンサー,選挙区,現,2,立民県連・国民,,,,,
2025-07-20,福島県,森･まさこ♀(60),♀女性,60,自民,元法務大臣,0,1,大臣,選挙区,現,4,-,,,,,
2025-07-20,茨城県,上月･良祐♂(62),♂男性,62,自民,元経済産業副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,茨城県,桜井･祥子♀(41),♀女性,41,参政,ＩＴ・教育関連会社役員,0,1,会社員,選挙区,新,1,-,,,,,
2025-07-20,栃木県,高橋･克法♂(67),♂男性,67,自民,国土交通副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,群馬県,清水･真人♂(50),♂男性,50,自民,元国土交通政務官,0,1,政務官,選挙区,現,2,公明,,,,,
2025-07-20,埼玉県,古川･俊治♂(62),♂男性,62,自民,医師,0,1,医療専門職,選挙区,現,4,-,,,,,
2025-07-20,埼玉県,江原･久美子♀(54),♀女性,54,国民,元埼玉県議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,埼玉県,熊谷･裕人♂(63),♂男性,63,立民,元さいたま市議会議員,0,1,議員,選挙区,現,2,-,,,,,
2025-07-20,埼玉県,大津･力♂(53),♂男性,53,参政,元埼玉県飯能市議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,千葉県,小林･さやか♀(41),♀女性,41,国民,元ＮＨＫ記者,0,1,記者,選挙区,新,1,-,,,,,
2025-07-20,千葉県,長浜･博行♂(66),♂男性,66,立民,参議院副議長,0,1,議会役職,選挙区,現,4,-,,,,,
2025-07-20,千葉県,石井･準一♂(67),♂男性,67,自民,自民党参議院国会対策委員長,0,1,政党役職,選挙区,現,4,公明,,,,,
2025-07-20,東京都,鈴木･大地♂(58),♂男性,58,自民,元スポーツ庁長官,0,1,庁長官,選挙区,新,1,-,,,,,
2025-07-20,東京都,さや♀(43),♀女性,43,参政,歌手,0,1,芸能,選挙区,新,1,-,,,,,
2025-07-20,東京都,牛田･茉友♀(40),♀女性,40,国民,元ＮＨＫアナウンサー,0,1,アナウンサー,選挙区,新,1,-,,,,,
2025-07-20,東京都,川村･雄大♂(41),♂男性,41,公明,外科医,0,1,医療専門職,選挙区,新,1,-,,,,,
2025-07-20,東京都,奥村･祥大♂(31),♂男性,31,国民,元通信会社社員,0,1,会社員,選挙区,新,1,-,,,,,
2025-07-20,東京都,吉良･佳子♀(42),♀女性,42,共産,共産党政策副委員長,0,1,政党役職,選挙区,現,3,-,,,,,
2025-07-20,東京都,塩村･文夏♀(47),♀女性,47,立民,元東京都議会議員,0,1,議員,選挙区,現,2,-,,,,,
2025-07-20,神奈川県,牧山･ひろえ♀(60),♀女性,60,立民,アメリカニューヨーク州弁護士,0,1,弁護士,選挙区,現,4,-,,,,,
2025-07-20,神奈川県,籠島･彰宏♂(36),♂男性,36,国民,元農林水産省職員,0,1,官僚,選挙区,新,1,-,,,,,
2025-07-20,神奈川県,脇･雅昭♂(43),♂男性,43,自民,元神奈川県産業労働局長,0,1,官僚,選挙区,新,1,-,,,,,
2025-07-20,神奈川県,初鹿野･裕樹♂(48),♂男性,48,参政,元警察官,0,1,公務員,選挙区,新,1,-,,,,,
2025-07-20,新潟県,打越･さく良♀(57),♀女性,57,立民,弁護士,0,1,弁護士,選挙区,現,2,社民,,,,,
2025-07-20,長野県,羽田･次郎♂(55),♂男性,55,立民,元衆議院議員秘書,0,1,政治スタッフ,選挙区,現,2,社民,,,,,
2025-07-20,山梨県,後藤･斎♂(67),♂男性,67,国民,元山梨県知事,0,1,首長,選挙区,新,1,-,,,,,
2025-07-20,富山県,庭田･幸恵♀(57),♀女性,57,国民,元富山テレビアナウンサー,0,1,アナウンサー,選挙区,新,1,-,,,,,
2025-07-20,石川県,宮本･周司♂(54),♂男性,54,自民,元財務政務官,0,1,政務官,選挙区,現,4,公明,,,,,
2025-07-20,福井県,滝波･宏文♂(53),♂男性,53,自民,農林水産副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,岐阜県,若井･敦子♀(53),♀女性,53,自民,元岐阜県議会議員,0,1,議員,選挙区,新,1,公明,,,,,
2025-07-20,静岡県,榛葉･賀津也♂(58),♂男性,58,国民,国民民主党幹事長,0,1,政党役職,選挙区,現,5,-,,,,,
2025-07-20,静岡県,牧野･京夫♂(66),♂男性,66,自民,参議院議院運営委員長,0,1,議会役職,選挙区,現,4,公明,,,,,
2025-07-20,愛知県,水野･孝一♂(48),♂男性,48,国民,元にっぽんど真ん中祭り文化財団専務理事,0,1,団体役員,選挙区,新,1,-,,,,,
2025-07-20,愛知県,田島･麻衣子♀(48),♀女性,48,立民,元国連世界食糧計画職員,0,1,国際機関職員,選挙区,現,2,-,,,,,
2025-07-20,愛知県,杉本･純子♀(47),♀女性,47,参政,建築内装業,0,1,自営業,選挙区,新,1,-,,,,,
2025-07-20,愛知県,酒井･庸行♂(73),♂男性,73,自民,元経済産業副大臣,0,1,大臣,選挙区,現,3,-,,,,,
2025-07-20,三重県,小島･智子♀(64),♀女性,64,立民,元三重県議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,滋賀県,宮本･和宏♂(53),♂男性,53,自民,元滋賀県守山市長,0,1,首長,選挙区,新,1,公明,,,,,
2025-07-20,京都府,新実･彰平♂(36),♂男性,36,維新,元関西テレビアナウンサー,0,1,アナウンサー,選挙区,新,1,-,,,,,
2025-07-20,京都府,西田･昌司♂(66),♂男性,66,自民,自民党財政改革検討本部本部長代理,0,1,政党役職,選挙区,現,4,公明,,,,,
2025-07-20,大阪府,佐々木･理江♀(42),♀女性,42,維新,元大阪市議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,大阪府,岡崎･太♂(57),♂男性,57,維新,元大阪市議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,大阪府,宮出･千慧♀(40),♀女性,40,参政,建設会社勤務,0,1,会社員,選挙区,新,1,-,,,,,
2025-07-20,大阪府,杉･久武♂(49),♂男性,49,公明,公認会計士,0,1,士業,選挙区,現,3,-,,,,,
2025-07-20,兵庫県,泉･房穂♂(61),♂男性,61,無,元兵庫県明石市長,0,1,首長,選挙区,新,1,立民県連,,,,,
2025-07-20,兵庫県,高橋･光男♂(48),♂男性,48,公明,元農林水産政務官,0,1,政務官,選挙区,現,2,自民,,,,,
2025-07-20,兵庫県,加田･裕之♂(55),♂男性,55,自民,元法務政務官,0,1,政務官,選挙区,現,2,-,,,,,
2025-07-20,奈良県,堀井･巌♂(59),♂男性,59,自民,元外務副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,和歌山県,望月･良男♂(53),♂男性,53,無,元和歌山県有田市長,0,1,首長,選挙区,新,1,-,,,,,
2025-07-20,鳥取県・島根県,出川･桃子♀(47),♀女性,47,自民,元島根県議会議員,0,1,議員,選挙区,新,1,公明,,,,,
2025-07-20,岡山県,小林･孝一郎♂(47),♂男性,47,自民,元岡山県議会議員,0,1,議員,選挙区,新,1,公明,,,,,
2025-07-20,広島県,西田･英範♂(43),♂男性,43,自民,元経済産業省課長補佐,0,1,官僚,選挙区,新,1,公明,,,,,
2025-07-20,広島県,森本･真治♂(52),♂男性,52,立民,立憲民主党副幹事長,0,1,政党役職,選挙区,現,3,社民県連合,,,,,
2025-07-20,山口県,北村･経夫♂(70),♂男性,70,自民,元産経新聞政治部長,0,1,記者,選挙区,現,4,-,,,,,
2025-07-20,徳島県・高知県,広田･一♂(56),♂男性,56,無,元衆議院議員,0,1,議員,選挙区,現,4,-,,,,,
2025-07-20,香川県,原田･秀一♂(52),♂男性,52,国民,元投資ファンド共同経営者,0,1,経営者,選挙区,新,1,-,,,,,
2025-07-20,愛媛県,永江･孝子♀(65),♀女性,65,無,元南海放送アナウンサー,0,1,アナウンサー,選挙区,現,2,-,,,,,
2025-07-20,福岡県,松山･政司♂(66),♂男性,66,自民,自民党参議院幹事長,0,1,政党役職,選挙区,現,5,-,,,,,
2025-07-20,福岡県,中田･優子♀(35),♀女性,35,参政,不動産会社社員,0,1,会社員,選挙区,新,1,-,,,,,
2025-07-20,福岡県,下野･六太♂(61),♂男性,61,公明,元中学校教諭,0,1,教員,選挙区,現,2,自民,,,,,
2025-07-20,佐賀県,山下･雄平♂(45),♂男性,45,自民,元参議院農林水産委員長,0,1,議会役職,選挙区,現,3,公明,,,,,
2025-07-20,長崎県,古賀･友一郎♂(57),♂男性,57,自民,経済産業副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,熊本県,馬場･成志♂(60),♂男性,60,自民,元総務副大臣,0,1,大臣,選挙区,現,3,公明,,,,,
2025-07-20,大分県,吉田･忠智♂(69),♂男性,69,立民,元社民党党首,0,1,政党役職,選挙区,元,3,-,,,,,
2025-07-20,宮崎県,山内･佳菜子♀(44),♀女性,44,立民,元宮崎県議会議員,0,1,議員,選挙区,新,1,-,,,,,
2025-07-20,鹿児島県,尾辻･朋実♀(44),♀女性,44,無,元参議院議員秘書,0,1,政治スタッフ,選挙区,新,1,立民,,,,,
2025-07-20,沖縄県,高良･沙哉♀(46),♀女性,46,無,沖縄大学人文学部教授,0,1,教員,選挙区,新,1,立民・共産・社民・社大,,,,,
2022-07-10,北海道,長谷川･岳♂(51),♂男性,51,自民,元総務副大臣、参議院農林水産委員長,0,1,大臣,選挙区,現,3,公明,,,,,
2022-07-10,北海道,徳永･エリ♀(60),♀女性,60,立民,参議院環境委員長、立憲民主党北海道連副代表,0,1,議会役職,選挙区,現,3,社民,,,,,
2022-07-10,北海道,船橋･利実♂(61),♂男性,61,自民,元衆議院議員、元財務政務官,0,1,議員,選挙区,新,1,公明・大地,,,,,
2022-07-10,青森県,田名部･匡代♀(53),♀女性,53,立民,元農林水産政務官、立憲民主党つながる本部長代行,0,1,政務官,選挙区,現,2,社民,,,,,
2022-07-10,岩手県,広瀬･めぐみ♀(56),♀女性,56,自民,弁護士、自民党岩手県連女性局次長,0,1,弁護士,選挙区,新,1,公明,,,,,
2022-07-10,宮城県,桜井･充♂(66),♂男性,66,自民,元財務副大臣、医師,0,1,大臣,選挙区,現,5,公明,,,,,
2022-07-10,秋田県,石井･浩郎♂(58),♂男性,58,自民,自民党副幹事長、元プロ野球選手,0,1,政党役職,選挙区,現,3,公明,,,,,
2022-07-10,山形県,舟山･康江♀(56),♀女性,56,国民,国民民主党筆頭副代表、元農林水産省職員,0,1,政党役職,選挙区,現,3,-,,,,,
2022-07-10,福島県,星･北斗♂(58),♂男性,58,自民,元福島県医師会副会長、医師,0,1,医療専門職,選挙区,新,1,公明,,,,,
2022-07-10,茨城県,加藤･明良♂(54),♂男性,54,自民,元茨城県議会議員、元参議院議員秘書,0,1,議員,選挙区,新,1,公明,,,,,
2022-07-10,茨城県,堂込･麻紀子♀(46),♀女性,46,無,連合茨城執行委員、ＵＡゼンセン茨城県支部運営評議員,0,1,団体役員,選挙区,新,1,立民・国民,,,,,
2022-07-10,栃木県,上野･通子♀(64),♀女性,64,自民,元文部科学副大臣、自民党政務調査会副会長,0,1,大臣,選挙区,現,3,公明,,,,,
2022-07-10,群馬県,中曽根･弘文♂(76),♂男性,76,自民,元外務大臣、元文部大臣,0,1,大臣,選挙区,現,7,公明,,,,,
2022-07-10,埼玉県,関口･昌一♂(69),♂男性,69,自民,自民党参議院議員会長、元総務副大臣,0,1,議員,選挙区,現,5,-,,,,,
2022-07-10,埼玉県,上田･清司♂(74),♂男性,74,無,元埼玉県知事、元衆議院議員,0,1,首長,選挙区,現,2,国民,,,,,
2022-07-10,埼玉県,西田･実仁♂(59),♂男性,59,公明,公明党参議院会長、元週刊東洋経済副編集長,0,1,政党役職,選挙区,現,4,自民,,,,,
2022-07-10,埼玉県,高木･真理♀(54),♀女性,54,立民,元埼玉県議会議員、元衆議院議員秘書,0,1,議員,選挙区,新,1,-,,,,,
2022-07-10,千葉県,臼井･正一♂(47),♂男性,47,自民,元千葉県議会議員、千葉県肢体不自由児協会理事長,0,1,議員,選挙区,新,1,公明,,,,,
2022-07-10,千葉県,猪口･邦子♀(70),♀女性,70,自民,元少子化担当大臣、元軍縮会議日本政府代表部大使,0,1,大臣,選挙区,現,3,公明,,,,,
2022-07-10,千葉県,小西･洋之♂(50),♂男性,50,立民,立憲民主党政務調査会副会長、元総務省課長補佐,0,1,政党役職,選挙区,現,3,社民県連合,,,,,
2022-07-10,東京都,朝日･健太郎♂(46),♂男性,46,自民,元国土交通政務官、元バレーボール日本代表,0,1,政務官,選挙区,現,2,-,,,,,
2022-07-10,東京都,竹谷･とし子♀(52),♀女性,52,公明,元財務政務官、公認会計士,0,1,政務官,選挙区,現,3,-,,,,,
2022-07-10,東京都,山添･拓♂(37),♂男性,37,共産,弁護士、共産党参議院国会対策副委員長,0,1,弁護士,選挙区,現,2,-,,,,,
2022-07-10,東京都,蓮舫♀(54),♀女性,54,立民,元立憲民主党代表代行、元行政刷新担当大臣,0,1,政党役職,選挙区,現,4,-,,,,,
2022-07-10,東京都,生稲･晃子♀(54),♀女性,54,自民,俳優、元おニャン子クラブメンバー,0,1,芸能,選挙区,新,1,-,,,,,
