日付,性別,年齢,政党,都道府県,立候補者名,職業,職業カテゴリ(未使用),カウント,職業カテゴリ,選挙制度,小選挙区,前・元・新,当選回数,推薦,性別>年齢,政党>性別,政党>年齢>性別,政党>都道府県,政党>職業カテゴリ
2024-10-27,♂男性,48,立民,北海道,道下 大樹♂(48),元北海道議会議員、元衆議院議員秘書,0,1,議員,小選挙区,01,前,3,社民道連合,,,,,
2024-10-27,♂男性,65,立民,北海道,松木 謙公♂(65),元農林水産政務官、業界紙社長,0,1,政務官,小選挙区,02,前,7,社民道連合,,,,,
2024-10-27,♀女性,49,立民,北海道,荒井 優♀(49),学校法人副理事長、元ソフトバンク社員,0,1,団体役員,小選挙区,03,前,2,社民道連合,,,,,
2024-10-27,♀女性,41,立民,北海道,大築 紅葉♀(41),元フジテレビ記者、立憲民主党国会対策委員長補佐,0,1,記者,小選挙区,04,前,2,社民道連合,,,,,
2024-10-27,♀女性,52,立民,北海道,池田 真紀♀(52),元東京都板橋区職員、社会福祉士,0,1,官僚,小選挙区,05,元,2,社民道連合,,,,,
2024-10-27,♂男性,56,自民,北海道,東 国幹♂(56),元北海道議会議員、元北海道旭川市議会議員,0,1,議員,小選挙区,06,前,2,公明・大地,,,,,
2024-10-27,♀女性,38,自民,北海道,鈴木 貴子♀(38),元外務副大臣、元ＮＨＫディレクター,0,1,大臣,小選挙区,07,前,5,公明・大地,,,,,
2024-10-27,♂男性,65,立民,北海道,逢坂 誠二♂(65),元立憲民主党代表代行、元総理大臣補佐官,0,1,政党役職,小選挙区,08,前,6,社民道連合,,,,,
2024-10-27,♂男性,45,立民,北海道,山岡 達丸♂(45),元ＮＨＫ記者、立憲民主党副幹事長,0,1,記者,小選挙区,09,前,4,社民道連合,,,,,
2024-10-27,♂男性,56,立民,北海道,神谷 裕♂(56),元衆議院議員秘書、元日本かつお・まぐろ漁協職員,0,1,議員,小選挙区,10,前,3,社民道連合,,,,,
2024-10-27,♀女性,40,立民,北海道,石川 香織♀(40),元日本ＢＳ放送アナウンサー、立憲民主党副幹事長,0,1,記者,小選挙区,11,前,3,-,,,,,
2024-10-27,♂男性,54,自民,北海道,武部 新♂(54),文部科学副大臣、元農林水産副大臣,0,1,大臣,小選挙区,12,前,5,公明・大地,,,,,
2024-10-27,♂男性,58,自民,青森県,津島 淳♂(58),元法務副大臣、自民党青森県連会長,0,1,大臣,小選挙区,01,前,5,公明,,,,,
2024-10-27,♂男性,54,自民,青森県,神田 潤一♂(54),内閣府政務官、元日本銀行職員,0,1,政務官,小選挙区,02,前,2,公明,,,,,
2024-10-27,♀女性,44,立民,青森県,岡田 華子♀(44),弁護士、AGC社員,0,1,弁護士,小選挙区,03,新,1,社民県連合,,,,,
2024-10-27,♂男性,58,立民,岩手県,階 猛♂(58),元総務政務官、弁護士,0,1,政務官,小選挙区,01,前,7,-,,,,,
2024-10-27,♂男性,71,自民,岩手県,鈴木 俊一♂(71),元財務大臣、自民党総務会長,0,1,大臣,小選挙区,02,前,11,公明,,,,,
2024-10-27,♂男性,82,立民,岩手県,小沢 一郎♂(82),元自由党代表、元民主党代表,0,1,政党役職,小選挙区,03,前,19,-,,,,,
2024-10-27,♀女性,60,立民,宮城県,岡本 章子♀(60),立憲民主党宮城県連代表代行、元仙台市議会議員,0,1,政党役職,小選挙区,01,前,3,-,,,,,
2024-10-27,♀女性,59,立民,宮城県,鎌田 さゆり♀(59),立憲民主党宮城県連副代表、元宮城県議会議員,0,1,政党役職,小選挙区,02,前,4,-,,,,,
2024-10-27,♂男性,61,立民,宮城県,柳沢 剛♂(61),元仙台放送アナウンサー、少年野球チーム監督,0,1,記者,小選挙区,03,新,1,-,,,,,
2024-10-27,♂男性,62,立民,宮城県,安住 淳♂(62),元財務大臣、元立憲民主党国会対策委員長,0,1,大臣,小選挙区,04,前,10,-,,,,,
2024-10-27,♂男性,64,自民,宮城県,小野寺 五典♂(64),自民党政務調査会長、元防衛大臣,0,1,政党役職,小選挙区,05,前,9,公明,,,,,
2024-10-27,♂男性,69,自民,秋田県,冨樫 博之♂(69),元復興副大臣、元自民党副幹事長,0,1,大臣,小選挙区,01,前,5,公明,,,,,
2024-10-27,♂男性,39,立民,秋田県,緑川 貴士♂(39),立憲民主党秋田県連代表、元秋田朝日放送アナウンサー,0,1,政党役職,小選挙区,02,前,3,-,,,,,
2024-10-27,♂男性,64,国民,秋田県,村岡 敏英♂(64),国民民主党秋田県連代表、元官房長官秘書官,0,1,政党役職,小選挙区,03,元,3,-,,,,,
2024-10-27,♂男性,74,自民,山形県,遠藤 利明♂(74),元オリンピック・パラリンピック担当大臣、元自民党総務会長,0,1,大臣,小選挙区,01,前,10,公明,,,,,
