日付,国名,地域,💔5歳未満児の死亡数(1000人中),👶子供の数(女性1人中),平均寿命,未使用,人口密度,カウント,🏥医療費:1人当たりのGDPに対する割合%,💰所得(平均年収):ドル,輸出:1人当たりの輸出:GDPに対する割合%,輸入:1人当たりの輸出:GDPに対する割合%,💰一人当たりのGDP:ドル,📈インフレ:総GDPの年間成長率:%
2024-09-01,Afghanistan,東地中海,90.2,5.82,56.2,-,65,1,7.58,1610,10,44.9,553,9.44
2024-09-01,Albania,ヨーロッパ,16.6,1.65,76.3,-,99,1,6.55,9930,28,48.6,4090,4.49
2024-09-01,Algeria,アフリカ,27.3,2.89,76.5,-,19,1,4.17,12900,38.4,31.4,4460,16.1
2024-09-01,Angola,アフリカ,119,6.16,60.1,-,29,1,2.85,5900,62.3,42.9,3530,22.4
2024-09-01,Antigua & Barbuda,中央アメリカ,10.3,2.13,76.8,-,213,1,6.03,19100,45.5,58.9,12200,1.44
2024-09-01,Argentina,南アメリカ,14.5,2.37,75.8,-,16,1,8.1,18700,18.9,16,10300,20.9
2024-09-01,Armenia,ヨーロッパ,18.1,1.69,73.3,-,93,1,4.4,6700,20.8,45.3,3220,7.77
2024-09-01,Australia,西太平洋,4.8,1.93,82,-,3,1,8.73,41400,19.8,20.9,51900,1.16
2024-09-01,Austria,ヨーロッパ,4.3,1.44,80.5,-,107,1,11,43200,51.3,47.8,46900,0.873
2024-09-01,Azerbaijan,ヨーロッパ,39.2,1.92,69.1,-,120,1,5.88,16000,54.3,20.7,5840,13.8
2024-09-01,Bahamas,中央アメリカ,13.8,1.86,73.8,-,30,1,7.89,22900,35,43.7,28000,-0.393
2024-09-01,Bahrain,東地中海,8.6,2.16,76,-,1910,1,4.97,41100,69.5,50.9,20700,7.44
2024-09-01,Bangladesh,東南アジア,49.4,2.33,70.4,-,1165,1,3.52,2440,16,21.8,758,7.14
2024-09-01,Barbados,中央アメリカ,14.2,1.78,76.7,-,654,1,7.97,15300,39.5,48.7,16000,0.321
2024-09-01,Belarus,ヨーロッパ,5.5,1.49,70.4,-,46,1,5.61,16200,51.4,64.5,6030,15.1
2024-09-01,Belgium,ヨーロッパ,4.5,1.86,80,-,383,1,10.7,41100,76.4,74.7,44400,1.88
2024-09-01,Belize,中央アメリカ,18.8,2.71,71.4,-,18,1,5.2,7880,58.2,57.5,4340,1.14
2024-09-01,Benin,アフリカ,111,5.36,61.8,-,119,1,4.1,1820,23.8,37.2,758,0.885
2024-09-01,Bhutan,東南アジア,42.7,2.38,72.1,-,21,1,5.2,6420,42.5,70.7,2180,5.99
2024-09-01,Bolivia,南アメリカ,46.6,3.2,71.6,-,11,1,4.84,5410,41.2,34.3,1980,8.78
2024-09-01,Bosnia & Herzegovina,ヨーロッパ,6.9,1.31,76.8,-,63,1,11.1,9720,29.7,51.3,4610,1.4
2024-09-01,Botswana,アフリカ,52.5,2.88,57.1,-,5,1,8.3,13300,43.6,51.3,6350,8.92
2024-09-01,Brazil,南アメリカ,19.8,1.8,74.2,-,25,1,9.01,14500,10.7,11.8,11200,8.41
2024-09-01,Brunei,西太平洋,10.5,1.84,77.1,-,78,1,2.84,80600,67.4,28,35300,16.7
2024-09-01,Bulgaria,ヨーロッパ,10.8,1.57,73.9,-,61,1,6.87,15300,50.2,53,6840,1.11
