年,未使用1,税区分,未使用2,都道府県,市区町村,業種(サンプル),未使用,カウント
2008-01-01,0,0,不明,北海道,札幌市,業種G,0,150
2008-01-01,0,1,不明,北海道,札幌市,業種I,0,16
2008-01-01,0,2,不明,北海道,札幌市,業種G,0,58
2008-01-01,0,0,不明,北海道,函館市,業種H,0,119
2008-01-01,0,1,不明,北海道,函館市,業種H,0,11
2008-01-01,0,2,不明,北海道,函館市,業種C,0,47
2008-01-01,0,0,不明,北海道,小樽市,業種H,0,113
2008-01-01,0,1,不明,北海道,小樽市,業種F,0,11
2008-01-01,0,2,不明,北海道,小樽市,業種G,0,47
2008-01-01,0,0,不明,北海道,旭川市,業種C,0,116
2008-01-01,0,1,不明,北海道,旭川市,業種E,0,11
2008-01-01,0,2,不明,北海道,旭川市,業種E,0,44
2008-01-01,0,0,不明,北海道,室蘭市,業種F,0,161
2008-01-01,0,1,不明,北海道,室蘭市,業種F,0,25
2008-01-01,0,2,不明,北海道,室蘭市,業種C,0,71
2008-01-01,0,0,不明,北海道,釧路市,業種F,0,121
2008-01-01,0,1,不明,北海道,釧路市,業種J,0,11
2008-01-01,0,2,不明,北海道,釧路市,業種E,0,50
2008-01-01,0,0,不明,北海道,帯広市,業種J,0,129
2008-01-01,0,1,不明,北海道,帯広市,業種C,0,12
2008-01-01,0,2,不明,北海道,帯広市,業種E,0,51
2008-01-01,0,0,不明,北海道,北見市,業種I,0,113
2008-01-01,0,1,不明,北海道,北見市,業種D,0,10
2008-01-01,0,2,不明,北海道,北見市,業種G,0,45
2008-01-01,0,0,不明,北海道,夕張市,業種D,0,87
2008-01-01,0,1,不明,北海道,夕張市,業種I,0,6
2008-01-01,0,2,不明,北海道,夕張市,業種E,0,37
2008-01-01,0,0,不明,北海道,岩見沢市,業種A,0,99
2008-01-01,0,1,不明,北海道,岩見沢市,業種D,0,8
2008-01-01,0,2,不明,北海道,岩見沢市,業種F,0,38
2008-01-01,0,0,不明,北海道,網走市,業種C,0,125
2008-01-01,0,1,不明,北海道,網走市,業種F,0,9
2008-01-01,0,2,不明,北海道,網走市,業種C,0,50
2008-01-01,0,0,不明,北海道,留萌市,業種C,0,111
2008-01-01,0,1,不明,北海道,留萌市,業種E,0,9
2008-01-01,0,2,不明,北海道,留萌市,業種E,0,42
2008-01-01,0,0,不明,北海道,苫小牧市,業種F,0,166
2008-01-01,0,1,不明,北海道,苫小牧市,業種D,0,16
2008-01-01,0,2,不明,北海道,苫小牧市,業種A,0,82
2008-01-01,0,0,不明,北海道,稚内市,業種E,0,123
2008-01-01,0,1,不明,北海道,稚内市,業種J,0,11
2008-01-01,0,2,不明,北海道,稚内市,業種F,0,43
2008-01-01,0,0,不明,北海道,美唄市,業種D,0,86
2008-01-01,0,1,不明,北海道,美唄市,業種J,0,5
2008-01-01,0,2,不明,北海道,美唄市,業種I,0,35
2008-01-01,0,0,不明,北海道,芦別市,業種A,0,97
2008-01-01,0,1,不明,北海道,芦別市,業種D,0,4
2008-01-01,0,2,不明,北海道,芦別市,業種G,0,51
2008-01-01,0,0,不明,北海道,江別市,業種F,0,104
2008-01-01,0,1,不明,北海道,江別市,業種H,0,5
2008-01-01,0,2,不明,北海道,江別市,業種G,0,42
2008-01-01,0,0,不明,北海道,赤平市,業種J,0,77
2008-01-01,0,1,不明,北海道,赤平市,業種I,0,5
2008-01-01,0,2,不明,北海道,赤平市,業種E,0,29
2008-01-01,0,0,不明,北海道,紋別市,業種C,0,112
2008-01-01,0,1,不明,北海道,紋別市,業種C,0,9
2008-01-01,0,2,不明,北海道,紋別市,業種E,0,42
2008-01-01,0,0,不明,北海道,士別市,業種E,0,108
2008-01-01,0,1,不明,北海道,士別市,業種E,0,12
2008-01-01,0,2,不明,北海道,士別市,業種F,0,48
2008-01-01,0,0,不明,北海道,名寄市,業種I,0,100
2008-01-01,0,1,不明,北海道,名寄市,業種A,0,8
2008-01-01,0,2,不明,北海道,名寄市,業種F,0,37
2008-01-01,0,0,不明,北海道,三笠市,業種A,0,93
2008-01-01,0,1,不明,北海道,三笠市,業種D,0,7
2008-01-01,0,2,不明,北海道,三笠市,業種E,0,50
2008-01-01,0,0,不明,北海道,根室市,業種G,0,101
2008-01-01,0,1,不明,北海道,根室市,業種C,0,9
2008-01-01,0,2,不明,北海道,根室市,業種I,0,33
2008-01-01,0,0,不明,北海道,千歳市,業種G,0,158
2008-01-01,0,1,不明,北海道,千歳市,業種E,0,19
2008-01-01,0,2,不明,北海道,千歳市,業種E,0,71
2008-01-01,0,0,不明,北海道,滝川市,業種E,0,105
2008-01-01,0,1,不明,北海道,滝川市,業種H,0,8
2008-01-01,0,2,不明,北海道,滝川市,業種D,0,41
2008-01-01,0,0,不明,北海道,砂川市,業種H,0,115
2008-01-01,0,1,不明,北海道,砂川市,業種E,0,10
2008-01-01,0,2,不明,北海道,砂川市,業種I,0,51
2008-01-01,0,0,不明,北海道,歌志内市,業種J,0,57
2008-01-01,0,1,不明,北海道,歌志内市,業種G,0,4
2008-01-01,0,2,不明,北海道,歌志内市,業種G,0,21
2008-01-01,0,0,不明,北海道,深川市,業種B,0,98
2008-01-01,0,1,不明,北海道,深川市,業種A,0,6
2008-01-01,0,2,不明,北海道,深川市,業種I,0,42
2008-01-01,0,0,不明,北海道,富良野市,業種J,0,101
2008-01-01,0,1,不明,北海道,富良野市,業種F,0,7
2008-01-01,0,2,不明,北海道,富良野市,業種C,0,43
2008-01-01,0,0,不明,北海道,登別市,業種I,0,106
2008-01-01,0,1,不明,北海道,登別市,業種F,0,6
2008-01-01,0,2,不明,北海道,登別市,業種A,0,41
2008-01-01,0,0,不明,北海道,恵庭市,業種I,0,117
2008-01-01,0,1,不明,北海道,恵庭市,業種B,0,7
2008-01-01,0,2,不明,北海道,恵庭市,業種I,0,49
2008-01-01,0,0,不明,北海道,伊達市,業種A,0,104
