年月,都道府県,未使用1,未使用2,未使用3,店舗タイプ,未使用4,ジョブカテゴリ,カウント
2013-09-01,北海道,-,-,-,総合,-,0,89
2013-09-01,青森県,-,-,-,総合,-,0,18
2013-09-01,岩手県,-,-,-,総合,-,0,14
2013-09-01,宮城県,-,-,-,総合,-,0,23
2013-09-01,秋田県,-,-,-,総合,-,0,18
2013-09-01,山形県,-,-,-,総合,-,0,8
2013-09-01,福島県,-,-,-,総合,-,0,20
2013-09-01,茨城県,-,-,-,総合,-,0,32
2013-09-01,栃木県,-,-,-,総合,-,0,24
2013-09-01,群馬県,-,-,-,総合,-,0,38
2013-09-01,埼玉県,-,-,-,総合,-,0,83
2013-09-01,千葉県,-,-,-,総合,-,0,97
2013-09-01,東京都,-,-,-,総合,-,0,159
2013-09-01,神奈川県,-,-,-,総合,-,0,109
2013-09-01,新潟県,-,-,-,総合,-,0,31
2013-09-01,山梨県,-,-,-,総合,-,0,10
2013-09-01,長野県,-,-,-,総合,-,0,37
2013-09-01,富山県,-,-,-,総合,-,0,13
2013-09-01,石川県,-,-,-,総合,-,0,18
2013-09-01,福井県,-,-,-,総合,-,0,11
2013-09-01,岐阜県,-,-,-,総合,-,0,35
2013-09-01,静岡県,-,-,-,総合,-,0,31
2013-09-01,愛知県,-,-,-,総合,-,0,106
2013-09-01,三重県,-,-,-,総合,-,0,34
2013-09-01,滋賀県,-,-,-,総合,-,0,45
2013-09-01,京都府,-,-,-,総合,-,0,51
2013-09-01,大阪府,-,-,-,総合,-,0,194
2013-09-01,兵庫県,-,-,-,総合,-,0,83
2013-09-01,奈良県,-,-,-,総合,-,0,26
2013-09-01,和歌山県,-,-,-,総合,-,0,8
2013-09-01,鳥取県,-,-,-,総合,-,0,8
2013-09-01,島根県,-,-,-,総合,-,0,12
2013-09-01,岡山県,-,-,-,総合,-,0,24
2013-09-01,広島県,-,-,-,総合,-,0,40
2013-09-01,山口県,-,-,-,総合,-,0,26
2013-09-01,徳島県,-,-,-,総合,-,0,5
2013-09-01,香川県,-,-,-,総合,-,0,13
2013-09-01,愛媛県,-,-,-,総合,-,0,12
2013-09-01,高知県,-,-,-,総合,-,0,7
2013-09-01,福岡県,-,-,-,総合,-,0,85
2013-09-01,佐賀県,-,-,-,総合,-,0,15
2013-09-01,長崎県,-,-,-,総合,-,0,18
2013-09-01,熊本県,-,-,-,総合,-,0,31
2013-09-01,大分県,-,-,-,総合,-,0,27
2013-09-01,宮崎県,-,-,-,総合,-,0,14
2013-09-01,鹿児島県,-,-,-,総合,-,0,25
2013-09-01,沖縄県,-,-,-,総合,-,0,33
2013-10-01,北海道,-,-,-,総合,-,0,88
2013-10-01,青森県,-,-,-,総合,-,0,18
2013-10-01,岩手県,-,-,-,総合,-,0,14
2013-10-01,宮城県,-,-,-,総合,-,0,23
2013-10-01,秋田県,-,-,-,総合,-,0,18
2013-10-01,山形県,-,-,-,総合,-,0,8
2013-10-01,福島県,-,-,-,総合,-,0,20
2013-10-01,茨城県,-,-,-,総合,-,0,32
2013-10-01,栃木県,-,-,-,総合,-,0,24
2013-10-01,群馬県,-,-,-,総合,-,0,38
2013-10-01,埼玉県,-,-,-,総合,-,0,83
2013-10-01,千葉県,-,-,-,総合,-,0,98
2013-10-01,東京都,-,-,-,総合,-,0,157
2013-10-01,神奈川県,-,-,-,総合,-,0,109
2013-10-01,新潟県,-,-,-,総合,-,0,31
2013-10-01,山梨県,-,-,-,総合,-,0,10
2013-10-01,長野県,-,-,-,総合,-,0,37
2013-10-01,富山県,-,-,-,総合,-,0,14
2013-10-01,石川県,-,-,-,総合,-,0,18
2013-10-01,福井県,-,-,-,総合,-,0,11
2013-10-01,岐阜県,-,-,-,総合,-,0,35
2013-10-01,静岡県,-,-,-,総合,-,0,31
2013-10-01,愛知県,-,-,-,総合,-,0,106
2013-10-01,三重県,-,-,-,総合,-,0,33
2013-10-01,滋賀県,-,-,-,総合,-,0,45
2013-10-01,京都府,-,-,-,総合,-,0,51
2013-10-01,大阪府,-,-,-,総合,-,0,194
2013-10-01,兵庫県,-,-,-,総合,-,0,83
2013-10-01,奈良県,-,-,-,総合,-,0,26
2013-10-01,和歌山県,-,-,-,総合,-,0,8
2013-10-01,鳥取県,-,-,-,総合,-,0,8
2013-10-01,島根県,-,-,-,総合,-,0,12
2013-10-01,岡山県,-,-,-,総合,-,0,25
2013-10-01,広島県,-,-,-,総合,-,0,42
2013-10-01,山口県,-,-,-,総合,-,0,26
2013-10-01,徳島県,-,-,-,総合,-,0,5
2013-10-01,香川県,-,-,-,総合,-,0,13
2013-10-01,愛媛県,-,-,-,総合,-,0,12
2013-10-01,高知県,-,-,-,総合,-,0,7
2013-10-01,福岡県,-,-,-,総合,-,0,85
2013-10-01,佐賀県,-,-,-,総合,-,0,15
2013-10-01,長崎県,-,-,-,総合,-,0,18
2013-10-01,熊本県,-,-,-,総合,-,0,32
2013-10-01,大分県,-,-,-,総合,-,0,27
2013-10-01,宮崎県,-,-,-,総合,-,0,14
2013-10-01,鹿児島県,-,-,-,総合,-,0,25
2013-10-01,沖縄県,-,-,-,総合,-,0,33
2013-11-01,北海道,-,-,-,総合,-,0,88
2013-11-01,青森県,-,-,-,総合,-,0,18
2013-11-01,岩手県,-,-,-,総合,-,0,15
2013-11-01,宮城県,-,-,-,総合,-,0,24
2013-11-01,秋田県,-,-,-,総合,-,0,18
2013-11-01,山形県,-,-,-,総合,-,0,8
2013-11-01,福島県,-,-,-,総合,-,0,20
2013-11-01,茨城県,-,-,-,総合,-,0,32
2013-11-01,栃木県,-,-,-,総合,-,0,24
2013-11-01,群馬県,-,-,-,総合,-,0,38
2013-11-01,埼玉県,-,-,-,総合,-,0,84
2013-11-01,千葉県,-,-,-,総合,-,0,98
2013-11-01,東京都,-,-,-,総合,-,0,157
2013-11-01,神奈川県,-,-,-,総合,-,0,109
2013-11-01,新潟県,-,-,-,総合,-,0,31
2013-11-01,山梨県,-,-,-,総合,-,0,10
2013-11-01,長野県,-,-,-,総合,-,0,37
2013-11-01,富山県,-,-,-,総合,-,0,14
2013-11-01,石川県,-,-,-,総合,-,0,18
2013-11-01,福井県,-,-,-,総合,-,0,11
2013-11-01,岐阜県,-,-,-,総合,-,0,35
2013-11-01,静岡県,-,-,-,総合,-,0,31
2013-11-01,愛知県,-,-,-,総合,-,0,107
2013-11-01,三重県,-,-,-,総合,-,0,36
2013-11-01,滋賀県,-,-,-,総合,-,0,45
2013-11-01,京都府,-,-,-,総合,-,0,51
2013-11-01,大阪府,-,-,-,総合,-,0,195
2013-11-01,兵庫県,-,-,-,総合,-,0,83
2013-11-01,奈良県,-,-,-,総合,-,0,26
2013-11-01,和歌山県,-,-,-,総合,-,0,8
2013-11-01,鳥取県,-,-,-,総合,-,0,8
2013-11-01,島根県,-,-,-,総合,-,0,12
2013-11-01,岡山県,-,-,-,総合,-,0,25
2013-11-01,広島県,-,-,-,総合,-,0,42
2013-11-01,山口県,-,-,-,総合,-,0,26
2013-11-01,徳島県,-,-,-,総合,-,0,5
2013-11-01,香川県,-,-,-,総合,-,0,13
2013-11-01,愛媛県,-,-,-,総合,-,0,12
2013-11-01,高知県,-,-,-,総合,-,0,7
2013-11-01,福岡県,-,-,-,総合,-,0,87
2013-11-01,佐賀県,-,-,-,総合,-,0,15
2013-11-01,長崎県,-,-,-,総合,-,0,17
2013-11-01,熊本県,-,-,-,総合,-,0,33
2013-11-01,大分県,-,-,-,総合,-,0,27
2013-11-01,宮崎県,-,-,-,総合,-,0,14
2013-11-01,鹿児島県,-,-,-,総合,-,0,26
2013-11-01,沖縄県,-,-,-,総合,-,0,33
2013-12-01,北海道,-,-,-,総合,-,0,88
2013-12-01,青森県,-,-,-,総合,-,0,19
2013-12-01,岩手県,-,-,-,総合,-,0,15
2013-12-01,宮城県,-,-,-,総合,-,0,24
2013-12-01,秋田県,-,-,-,総合,-,0,18
2013-12-01,山形県,-,-,-,総合,-,0,8
2013-12-01,福島県,-,-,-,総合,-,0,20
2013-12-01,茨城県,-,-,-,総合,-,0,32
2013-12-01,栃木県,-,-,-,総合,-,0,24
2013-12-01,群馬県,-,-,-,総合,-,0,38
2013-12-01,埼玉県,-,-,-,総合,-,0,84
2013-12-01,千葉県,-,-,-,総合,-,0,98
2013-12-01,東京都,-,-,-,総合,-,0,158
2013-12-01,神奈川県,-,-,-,総合,-,0,109
2013-12-01,新潟県,-,-,-,総合,-,0,31
2013-12-01,山梨県,-,-,-,総合,-,0,10
2013-12-01,長野県,-,-,-,総合,-,0,37
2013-12-01,富山県,-,-,-,総合,-,0,14
2013-12-01,石川県,-,-,-,総合,-,0,18
2013-12-01,福井県,-,-,-,総合,-,0,11
2013-12-01,岐阜県,-,-,-,総合,-,0,35
2013-12-01,静岡県,-,-,-,総合,-,0,31
2013-12-01,愛知県,-,-,-,総合,-,0,108
2013-12-01,三重県,-,-,-,総合,-,0,36
2013-12-01,滋賀県,-,-,-,総合,-,0,46
2013-12-01,京都府,-,-,-,総合,-,0,51
2013-12-01,大阪府,-,-,-,総合,-,0,196
2013-12-01,兵庫県,-,-,-,総合,-,0,83
2013-12-01,奈良県,-,-,-,総合,-,0,27
2013-12-01,和歌山県,-,-,-,総合,-,0,8
2013-12-01,鳥取県,-,-,-,総合,-,0,8
2013-12-01,島根県,-,-,-,総合,-,0,12
2013-12-01,岡山県,-,-,-,総合,-,0,25
2013-12-01,広島県,-,-,-,総合,-,0,42
2013-12-01,山口県,-,-,-,総合,-,0,26
2013-12-01,徳島県,-,-,-,総合,-,0,5
2013-12-01,香川県,-,-,-,総合,-,0,13
2013-12-01,愛媛県,-,-,-,総合,-,0,12
2013-12-01,高知県,-,-,-,総合,-,0,7
2013-12-01,福岡県,-,-,-,総合,-,0,87
2013-12-01,佐賀県,-,-,-,総合,-,0,15
2013-12-01,長崎県,-,-,-,総合,-,0,17
2013-12-01,熊本県,-,-,-,総合,-,0,33
2013-12-01,大分県,-,-,-,総合,-,0,27
2013-12-01,宮崎県,-,-,-,総合,-,0,14
2013-12-01,鹿児島県,-,-,-,総合,-,0,26
2013-12-01,沖縄県,-,-,-,総合,-,0,33
2014-01-01,北海道,-,-,-,総合,-,0,88
2014-01-01,青森県,-,-,-,総合,-,0,19
2014-01-01,岩手県,-,-,-,総合,-,0,15
2014-01-01,宮城県,-,-,-,総合,-,0,24
2014-01-01,秋田県,-,-,-,総合,-,0,18
2014-01-01,山形県,-,-,-,総合,-,0,8
2014-01-01,福島県,-,-,-,総合,-,0,20
2014-01-01,茨城県,-,-,-,総合,-,0,32
2014-01-01,栃木県,-,-,-,総合,-,0,24
2014-01-01,群馬県,-,-,-,総合,-,0,38
2014-01-01,埼玉県,-,-,-,総合,-,0,84
2014-01-01,千葉県,-,-,-,総合,-,0,98
2014-01-01,東京都,-,-,-,総合,-,0,158
2014-01-01,神奈川県,-,-,-,総合,-,0,109
2014-01-01,新潟県,-,-,-,総合,-,0,31
2014-01-01,山梨県,-,-,-,総合,-,0,10
2014-01-01,長野県,-,-,-,総合,-,0,37
2014-01-01,富山県,-,-,-,総合,-,0,14
2014-01-01,石川県,-,-,-,総合,-,0,18
2014-01-01,福井県,-,-,-,総合,-,0,11
2014-01-01,岐阜県,-,-,-,総合,-,0,35
2014-01-01,静岡県,-,-,-,総合,-,0,31
2014-01-01,愛知県,-,-,-,総合,-,0,107
2014-01-01,三重県,-,-,-,総合,-,0,36
2014-01-01,滋賀県,-,-,-,総合,-,0,46
2014-01-01,京都府,-,-,-,総合,-,0,51
2014-01-01,大阪府,-,-,-,総合,-,0,196
2014-01-01,兵庫県,-,-,-,総合,-,0,84
2014-01-01,奈良県,-,-,-,総合,-,0,27
2014-01-01,和歌山県,-,-,-,総合,-,0,8
2014-01-01,鳥取県,-,-,-,総合,-,0,8
2014-01-01,島根県,-,-,-,総合,-,0,12
2014-01-01,岡山県,-,-,-,総合,-,0,25
2014-01-01,広島県,-,-,-,総合,-,0,42
2014-01-01,山口県,-,-,-,総合,-,0,26
2014-01-01,徳島県,-,-,-,総合,-,0,5
2014-01-01,香川県,-,-,-,総合,-,0,12
2014-01-01,愛媛県,-,-,-,総合,-,0,13
2014-01-01,高知県,-,-,-,総合,-,0,7
2014-01-01,福岡県,-,-,-,総合,-,0,87
2014-01-01,佐賀県,-,-,-,総合,-,0,14
2014-01-01,長崎県,-,-,-,総合,-,0,17
2014-01-01,熊本県,-,-,-,総合,-,0,33
2014-01-01,大分県,-,-,-,総合,-,0,27
2014-01-01,宮崎県,-,-,-,総合,-,0,14
2014-01-01,鹿児島県,-,-,-,総合,-,0,26
2014-01-01,沖縄県,-,-,-,総合,-,0,31
2014-02-01,北海道,-,-,-,総合,-,0,87
2014-02-01,青森県,-,-,-,総合,-,0,19
2014-02-01,岩手県,-,-,-,総合,-,0,15
2014-02-01,宮城県,-,-,-,総合,-,0,24
2014-02-01,秋田県,-,-,-,総合,-,0,18
2014-02-01,山形県,-,-,-,総合,-,0,8
2014-02-01,福島県,-,-,-,総合,-,0,20
2014-02-01,茨城県,-,-,-,総合,-,0,32
2014-02-01,栃木県,-,-,-,総合,-,0,24
2014-02-01,群馬県,-,-,-,総合,-,0,38
2014-02-01,埼玉県,-,-,-,総合,-,0,84
2014-02-01,千葉県,-,-,-,総合,-,0,98
2014-02-01,東京都,-,-,-,総合,-,0,159
2014-02-01,神奈川県,-,-,-,総合,-,0,109
2014-02-01,新潟県,-,-,-,総合,-,0,31
2014-02-01,山梨県,-,-,-,総合,-,0,10
2014-02-01,長野県,-,-,-,総合,-,0,37
2014-02-01,富山県,-,-,-,総合,-,0,14
2014-02-01,石川県,-,-,-,総合,-,0,18
2014-02-01,福井県,-,-,-,総合,-,0,11
2014-02-01,岐阜県,-,-,-,総合,-,0,35
2014-02-01,静岡県,-,-,-,総合,-,0,31
2014-02-01,愛知県,-,-,-,総合,-,0,107
2014-02-01,三重県,-,-,-,総合,-,0,37
2014-02-01,滋賀県,-,-,-,総合,-,0,46
2014-02-01,京都府,-,-,-,総合,-,0,51
2014-02-01,大阪府,-,-,-,総合,-,0,194
2014-02-01,兵庫県,-,-,-,総合,-,0,84
2014-02-01,奈良県,-,-,-,総合,-,0,27
2014-02-01,和歌山県,-,-,-,総合,-,0,9
2014-02-01,鳥取県,-,-,-,総合,-,0,8
2014-02-01,島根県,-,-,-,総合,-,0,12
2014-02-01,岡山県,-,-,-,総合,-,0,25
2014-02-01,広島県,-,-,-,総合,-,0,42
2014-02-01,山口県,-,-,-,総合,-,0,27
2014-02-01,徳島県,-,-,-,総合,-,0,5
2014-02-01,香川県,-,-,-,総合,-,0,12
2014-02-01,愛媛県,-,-,-,総合,-,0,13
2014-02-01,高知県,-,-,-,総合,-,0,7
2014-02-01,福岡県,-,-,-,総合,-,0,87
2014-02-01,佐賀県,-,-,-,総合,-,0,14
2014-02-01,長崎県,-,-,-,総合,-,0,18
2014-02-01,熊本県,-,-,-,総合,-,0,33
2014-02-01,大分県,-,-,-,総合,-,0,27
2014-02-01,宮崎県,-,-,-,総合,-,0,14
2014-02-01,鹿児島県,-,-,-,総合,-,0,26
2014-02-01,沖縄県,-,-,-,総合,-,0,31
2014-03-01,北海道,-,-,-,総合,-,0,87
2014-03-01,青森県,-,-,-,総合,-,0,19
2014-03-01,岩手県,-,-,-,総合,-,0,16
2014-03-01,宮城県,-,-,-,総合,-,0,24
2014-03-01,秋田県,-,-,-,総合,-,0,18
2014-03-01,山形県,-,-,-,総合,-,0,9
2014-03-01,福島県,-,-,-,総合,-,0,20
2014-03-01,茨城県,-,-,-,総合,-,0,33
2014-03-01,栃木県,-,-,-,総合,-,0,24
2014-03-01,群馬県,-,-,-,総合,-,0,38
2014-03-01,埼玉県,-,-,-,総合,-,0,84
2014-03-01,千葉県,-,-,-,総合,-,0,98
2014-03-01,東京都,-,-,-,総合,-,0,158
2014-03-01,神奈川県,-,-,-,総合,-,0,109
2014-03-01,新潟県,-,-,-,総合,-,0,31
2014-03-01,山梨県,-,-,-,総合,-,0,10
2014-03-01,長野県,-,-,-,総合,-,0,37
2014-03-01,富山県,-,-,-,総合,-,0,14
2014-03-01,石川県,-,-,-,総合,-,0,18
2014-03-01,福井県,-,-,-,総合,-,0,11
2014-03-01,岐阜県,-,-,-,総合,-,0,35
2014-03-01,静岡県,-,-,-,総合,-,0,31
2014-03-01,愛知県,-,-,-,総合,-,0,108
2014-03-01,三重県,-,-,-,総合,-,0,38
2014-03-01,滋賀県,-,-,-,総合,-,0,46
2014-03-01,京都府,-,-,-,総合,-,0,51
2014-03-01,大阪府,-,-,-,総合,-,0,197
2014-03-01,兵庫県,-,-,-,総合,-,0,84
2014-03-01,奈良県,-,-,-,総合,-,0,27
2014-03-01,和歌山県,-,-,-,総合,-,0,10
2014-03-01,鳥取県,-,-,-,総合,-,0,8
2014-03-01,島根県,-,-,-,総合,-,0,12
2014-03-01,岡山県,-,-,-,総合,-,0,25
2014-03-01,広島県,-,-,-,総合,-,0,42
2014-03-01,山口県,-,-,-,総合,-,0,27
2014-03-01,徳島県,-,-,-,総合,-,0,5
2014-03-01,香川県,-,-,-,総合,-,0,13
2014-03-01,愛媛県,-,-,-,総合,-,0,13
2014-03-01,高知県,-,-,-,総合,-,0,7
2014-03-01,福岡県,-,-,-,総合,-,0,89
2014-03-01,佐賀県,-,-,-,総合,-,0,14
2014-03-01,長崎県,-,-,-,総合,-,0,18
2014-03-01,熊本県,-,-,-,総合,-,0,33
2014-03-01,大分県,-,-,-,総合,-,0,27
2014-03-01,宮崎県,-,-,-,総合,-,0,14
2014-03-01,鹿児島県,-,-,-,総合,-,0,26
2014-03-01,沖縄県,-,-,-,総合,-,0,31
2014-04-01,北海道,-,-,-,総合,-,0,87
2014-04-01,青森県,-,-,-,総合,-,0,20
2014-04-01,岩手県,-,-,-,総合,-,0,16
2014-04-01,宮城県,-,-,-,総合,-,0,24
2014-04-01,秋田県,-,-,-,総合,-,0,18
2014-04-01,山形県,-,-,-,総合,-,0,9
2014-04-01,福島県,-,-,-,総合,-,0,21
2014-04-01,茨城県,-,-,-,総合,-,0,33
2014-04-01,栃木県,-,-,-,総合,-,0,24
2014-04-01,群馬県,-,-,-,総合,-,0,38
2014-04-01,埼玉県,-,-,-,総合,-,0,81
2014-04-01,千葉県,-,-,-,総合,-,0,98
2014-04-01,東京都,-,-,-,総合,-,0,132
2014-04-01,神奈川県,-,-,-,総合,-,0,98
2014-04-01,新潟県,-,-,-,総合,-,0,31
2014-04-01,山梨県,-,-,-,総合,-,0,10
2014-04-01,長野県,-,-,-,総合,-,0,37
2014-04-01,富山県,-,-,-,総合,-,0,14
2014-04-01,石川県,-,-,-,総合,-,0,18
2014-04-01,福井県,-,-,-,総合,-,0,11
2014-04-01,岐阜県,-,-,-,総合,-,0,35
2014-04-01,静岡県,-,-,-,総合,-,0,31
2014-04-01,愛知県,-,-,-,総合,-,0,109
2014-04-01,三重県,-,-,-,総合,-,0,38
2014-04-01,滋賀県,-,-,-,総合,-,0,46
2014-04-01,京都府,-,-,-,総合,-,0,49
2014-04-01,大阪府,-,-,-,総合,-,0,174
2014-04-01,兵庫県,-,-,-,総合,-,0,80
2014-04-01,奈良県,-,-,-,総合,-,0,26
2014-04-01,和歌山県,-,-,-,総合,-,0,10
2014-04-01,鳥取県,-,-,-,総合,-,0,8
2014-04-01,島根県,-,-,-,総合,-,0,12
2014-04-01,岡山県,-,-,-,総合,-,0,26
2014-04-01,広島県,-,-,-,総合,-,0,42
2014-04-01,山口県,-,-,-,総合,-,0,27
2014-04-01,徳島県,-,-,-,総合,-,0,5
2014-04-01,香川県,-,-,-,総合,-,0,12
2014-04-01,愛媛県,-,-,-,総合,-,0,13
2014-04-01,高知県,-,-,-,総合,-,0,7
2014-04-01,福岡県,-,-,-,総合,-,0,89
2014-04-01,佐賀県,-,-,-,総合,-,0,13
2014-04-01,長崎県,-,-,-,総合,-,0,18
2014-04-01,熊本県,-,-,-,総合,-,0,33
2014-04-01,大分県,-,-,-,総合,-,0,27
2014-04-01,宮崎県,-,-,-,総合,-,0,14
2014-04-01,鹿児島県,-,-,-,総合,-,0,26
2014-04-01,沖縄県,-,-,-,総合,-,0,31
2014-05-01,北海道,-,-,-,総合,-,0,87
2014-05-01,青森県,-,-,-,総合,-,0,21
2014-05-01,岩手県,-,-,-,総合,-,0,16
2014-05-01,宮城県,-,-,-,総合,-,0,24
2014-05-01,秋田県,-,-,-,総合,-,0,18
2014-05-01,山形県,-,-,-,総合,-,0,9
2014-05-01,福島県,-,-,-,総合,-,0,21
2014-05-01,茨城県,-,-,-,総合,-,0,33
2014-05-01,栃木県,-,-,-,総合,-,0,23
2014-05-01,群馬県,-,-,-,総合,-,0,38
2014-05-01,埼玉県,-,-,-,総合,-,0,81
2014-05-01,千葉県,-,-,-,総合,-,0,98
2014-05-01,東京都,-,-,-,総合,-,0,133
2014-05-01,神奈川県,-,-,-,総合,-,0,97
2014-05-01,新潟県,-,-,-,総合,-,0,31
2014-05-01,山梨県,-,-,-,総合,-,0,10
2014-05-01,長野県,-,-,-,総合,-,0,37
2014-05-01,富山県,-,-,-,総合,-,0,14
2014-05-01,石川県,-,-,-,総合,-,0,18
2014-05-01,福井県,-,-,-,総合,-,0,11
2014-05-01,岐阜県,-,-,-,総合,-,0,35
2014-05-01,静岡県,-,-,-,総合,-,0,31
2014-05-01,愛知県,-,-,-,総合,-,0,108
2014-05-01,三重県,-,-,-,総合,-,0,38
2014-05-01,滋賀県,-,-,-,総合,-,0,46
2014-05-01,京都府,-,-,-,総合,-,0,49
