年月,DI,未使用1,経営動向・景況感,現状・見通,変化,未使用4,ジョブカテゴリ,カウント
2011-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,710
2011-04-01,売上高DI,-,経営動向,-,やや減少,-,0,4030
2011-04-01,売上高DI,-,経営動向,-,変わらない,-,0,2080
2011-04-01,売上高DI,-,経営動向,-,やや増加,-,0,2730
2011-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,450
2011-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,1210
2011-05-01,売上高DI,-,経営動向,-,やや減少,-,0,4630
2011-05-01,売上高DI,-,経営動向,-,変わらない,-,0,1820
2011-05-01,売上高DI,-,経営動向,-,やや増加,-,0,2110
2011-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,220
2011-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,850
2011-06-01,売上高DI,-,経営動向,-,やや減少,-,0,4370
2011-06-01,売上高DI,-,経営動向,-,変わらない,-,0,2440
2011-06-01,売上高DI,-,経営動向,-,やや増加,-,0,2030
2011-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,310
2011-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,590
2011-07-01,売上高DI,-,経営動向,-,やや減少,-,0,3290
2011-07-01,売上高DI,-,経営動向,-,変わらない,-,0,2300
2011-07-01,売上高DI,-,経営動向,-,やや増加,-,0,3490
2011-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,330
2011-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,890
2011-08-01,売上高DI,-,経営動向,-,やや減少,-,0,4950
2011-08-01,売上高DI,-,経営動向,-,変わらない,-,0,2110
2011-08-01,売上高DI,-,経営動向,-,やや増加,-,0,1850
2011-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,190
2011-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,1170
2011-09-01,売上高DI,-,経営動向,-,やや減少,-,0,4760
2011-09-01,売上高DI,-,経営動向,-,変わらない,-,0,2210
2011-09-01,売上高DI,-,経営動向,-,やや増加,-,0,1620
2011-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,240
2011-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,880
2011-10-01,売上高DI,-,経営動向,-,やや減少,-,0,4250
2011-10-01,売上高DI,-,経営動向,-,変わらない,-,0,2620
2011-10-01,売上高DI,-,経営動向,-,やや増加,-,0,1940
2011-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,310
2011-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,1360
2011-11-01,売上高DI,-,経営動向,-,やや減少,-,0,5320
2011-11-01,売上高DI,-,経営動向,-,変わらない,-,0,1730
2011-11-01,売上高DI,-,経営動向,-,やや増加,-,0,1420
2011-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,170
2011-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,880
2011-12-01,売上高DI,-,経営動向,-,やや減少,-,0,3440
2011-12-01,売上高DI,-,経営動向,-,変わらない,-,0,2460
2011-12-01,売上高DI,-,経営動向,-,やや増加,-,0,2910
2011-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,320
2012-01-01,売上高DI,-,経営動向,-,かなり減少,-,0,810
2012-01-01,売上高DI,-,経営動向,-,やや減少,-,0,4660
2012-01-01,売上高DI,-,経営動向,-,変わらない,-,0,2530
2012-01-01,売上高DI,-,経営動向,-,やや増加,-,0,1720
2012-01-01,売上高DI,-,経営動向,-,かなり増加,-,0,280
2012-02-01,売上高DI,-,経営動向,-,かなり減少,-,0,660
2012-02-01,売上高DI,-,経営動向,-,やや減少,-,0,3420
2012-02-01,売上高DI,-,経営動向,-,変わらない,-,0,2390
2012-02-01,売上高DI,-,経営動向,-,やや増加,-,0,3060
2012-02-01,売上高DI,-,経営動向,-,かなり増加,-,0,470
2012-03-01,売上高DI,-,経営動向,-,かなり減少,-,0,2280
2012-03-01,売上高DI,-,経営動向,-,やや減少,-,0,4320
2012-03-01,売上高DI,-,経営動向,-,変わらない,-,0,1700
2012-03-01,売上高DI,-,経営動向,-,やや増加,-,0,1330
2012-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,370
2012-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,1270
2012-04-01,売上高DI,-,経営動向,-,やや減少,-,0,4510
2012-04-01,売上高DI,-,経営動向,-,変わらない,-,0,2190
2012-04-01,売上高DI,-,経営動向,-,やや増加,-,0,1830
2012-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,200
2012-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,830
2012-05-01,売上高DI,-,経営動向,-,やや減少,-,0,4130
2012-05-01,売上高DI,-,経営動向,-,変わらない,-,0,2500
2012-05-01,売上高DI,-,経営動向,-,やや増加,-,0,2270
2012-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,270
2012-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,840
2012-06-01,売上高DI,-,経営動向,-,やや減少,-,0,4660
2012-06-01,売上高DI,-,経営動向,-,変わらない,-,0,2080
2012-06-01,売上高DI,-,経営動向,-,やや増加,-,0,2180
2012-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,230
2012-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,1410
2012-07-01,売上高DI,-,経営動向,-,やや減少,-,0,5490
2012-07-01,売上高DI,-,経営動向,-,変わらない,-,0,1850
2012-07-01,売上高DI,-,経営動向,-,やや増加,-,0,1110
2012-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,130
2012-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,1040
2012-08-01,売上高DI,-,経営動向,-,やや減少,-,0,4840
2012-08-01,売上高DI,-,経営動向,-,変わらない,-,0,2350
2012-08-01,売上高DI,-,経営動向,-,やや増加,-,0,1590
2012-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,170
2012-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,920
2012-09-01,売上高DI,-,経営動向,-,やや減少,-,0,5210
2012-09-01,売上高DI,-,経営動向,-,変わらない,-,0,2380
2012-09-01,売上高DI,-,経営動向,-,やや増加,-,0,1240
2012-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,250
2012-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,1130
2012-10-01,売上高DI,-,経営動向,-,やや減少,-,0,5550
2012-10-01,売上高DI,-,経営動向,-,変わらない,-,0,2040
2012-10-01,売上高DI,-,経営動向,-,やや増加,-,0,1200
2012-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,70
2012-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,1170
2012-11-01,売上高DI,-,経営動向,-,やや減少,-,0,5270
2012-11-01,売上高DI,-,経営動向,-,変わらない,-,0,1720
2012-11-01,売上高DI,-,経営動向,-,やや増加,-,0,1610
2012-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,220
2012-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,1160
2012-12-01,売上高DI,-,経営動向,-,やや減少,-,0,4370
2012-12-01,売上高DI,-,経営動向,-,変わらない,-,0,2350
2012-12-01,売上高DI,-,経営動向,-,やや増加,-,0,1880
2012-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,250
2013-01-01,売上高DI,-,経営動向,-,かなり減少,-,0,910
2013-01-01,売上高DI,-,経営動向,-,やや減少,-,0,5250
2013-01-01,売上高DI,-,経営動向,-,変わらない,-,0,2030
2013-01-01,売上高DI,-,経営動向,-,やや増加,-,0,1670
2013-01-01,売上高DI,-,経営動向,-,かなり増加,-,0,140
2013-02-01,売上高DI,-,経営動向,-,かなり減少,-,0,2050
2013-02-01,売上高DI,-,経営動向,-,やや減少,-,0,5450
2013-02-01,売上高DI,-,経営動向,-,変わらない,-,0,1640
2013-02-01,売上高DI,-,経営動向,-,やや増加,-,0,820
2013-02-01,売上高DI,-,経営動向,-,かなり増加,-,0,40
2013-03-01,売上高DI,-,経営動向,-,かなり減少,-,0,950
2013-03-01,売上高DI,-,経営動向,-,やや減少,-,0,4220
2013-03-01,売上高DI,-,経営動向,-,変わらない,-,0,2510
2013-03-01,売上高DI,-,経営動向,-,やや増加,-,0,2090
2013-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,230
2013-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,1350
2013-04-01,売上高DI,-,経営動向,-,やや減少,-,0,4980
2013-04-01,売上高DI,-,経営動向,-,変わらない,-,0,2100
2013-04-01,売上高DI,-,経営動向,-,やや増加,-,0,1500
2013-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,70
2013-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,1150
2013-05-01,売上高DI,-,経営動向,-,やや減少,-,0,4310
2013-05-01,売上高DI,-,経営動向,-,変わらない,-,0,2210
2013-05-01,売上高DI,-,経営動向,-,やや増加,-,0,2290
2013-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,40
2013-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,980
2013-06-01,売上高DI,-,経営動向,-,やや減少,-,0,3370
2013-06-01,売上高DI,-,経営動向,-,変わらない,-,0,2460
2013-06-01,売上高DI,-,経営動向,-,やや増加,-,0,2990
2013-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,190
2013-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,910
2013-07-01,売上高DI,-,経営動向,-,やや減少,-,0,3810
2013-07-01,売上高DI,-,経営動向,-,変わらない,-,0,2300
2013-07-01,売上高DI,-,経営動向,-,やや増加,-,0,2870
2013-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,110
2013-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,620
2013-08-01,売上高DI,-,経営動向,-,やや減少,-,0,3470
2013-08-01,売上高DI,-,経営動向,-,変わらない,-,0,2440
2013-08-01,売上高DI,-,経営動向,-,やや増加,-,0,3220
2013-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,250
2013-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,720
2013-09-01,売上高DI,-,経営動向,-,やや減少,-,0,2950
2013-09-01,売上高DI,-,経営動向,-,変わらない,-,0,2630
2013-09-01,売上高DI,-,経営動向,-,やや増加,-,0,3550
2013-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,160
2013-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,500
2013-10-01,売上高DI,-,経営動向,-,やや減少,-,0,2870
2013-10-01,売上高DI,-,経営動向,-,変わらない,-,0,2400
2013-10-01,売上高DI,-,経営動向,-,やや増加,-,0,3910
2013-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,310
2013-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,350
2013-11-01,売上高DI,-,経営動向,-,やや減少,-,0,2040
2013-11-01,売上高DI,-,経営動向,-,変わらない,-,0,2420
2013-11-01,売上高DI,-,経営動向,-,やや増加,-,0,4540
2013-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,650
2013-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,420
2013-12-01,売上高DI,-,経営動向,-,やや減少,-,0,2820
2013-12-01,売上高DI,-,経営動向,-,変わらない,-,0,2400
2013-12-01,売上高DI,-,経営動向,-,やや増加,-,0,4080
2013-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,270
2014-01-01,売上高DI,-,経営動向,-,かなり減少,-,0,380
2014-01-01,売上高DI,-,経営動向,-,やや減少,-,0,2790
2014-01-01,売上高DI,-,経営動向,-,変わらない,-,0,2670
2014-01-01,売上高DI,-,経営動向,-,やや増加,-,0,4000
2014-01-01,売上高DI,-,経営動向,-,かなり増加,-,0,170
2014-02-01,売上高DI,-,経営動向,-,かなり減少,-,0,290
2014-02-01,売上高DI,-,経営動向,-,やや減少,-,0,2490
2014-02-01,売上高DI,-,経営動向,-,変わらない,-,0,2610
2014-02-01,売上高DI,-,経営動向,-,やや増加,-,0,4230
2014-02-01,売上高DI,-,経営動向,-,かなり増加,-,0,370
2014-03-01,売上高DI,-,経営動向,-,かなり減少,-,0,210
2014-03-01,売上高DI,-,経営動向,-,やや減少,-,0,1130
2014-03-01,売上高DI,-,経営動向,-,変わらない,-,0,1170
2014-03-01,売上高DI,-,経営動向,-,やや増加,-,0,5080
2014-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,2420
2014-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,1860
2014-04-01,売上高DI,-,経営動向,-,やや減少,-,0,4530
2014-04-01,売上高DI,-,経営動向,-,変わらない,-,0,1420
2014-04-01,売上高DI,-,経営動向,-,やや増加,-,0,2110
2014-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,80
2014-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,690
2014-05-01,売上高DI,-,経営動向,-,やや減少,-,0,3190
2014-05-01,売上高DI,-,経営動向,-,変わらない,-,0,1770
2014-05-01,売上高DI,-,経営動向,-,やや増加,-,0,3920
2014-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,430
2014-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,770
2014-06-01,売上高DI,-,経営動向,-,やや減少,-,0,2890
2014-06-01,売上高DI,-,経営動向,-,変わらない,-,0,2640
2014-06-01,売上高DI,-,経営動向,-,やや増加,-,0,3490
2014-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,210
2014-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,690
2014-07-01,売上高DI,-,経営動向,-,やや減少,-,0,3060
2014-07-01,売上高DI,-,経営動向,-,変わらない,-,0,2330
2014-07-01,売上高DI,-,経営動向,-,やや増加,-,0,3580
2014-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,340
2014-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,740
2014-08-01,売上高DI,-,経営動向,-,やや減少,-,0,2170
2014-08-01,売上高DI,-,経営動向,-,変わらない,-,0,2500
2014-08-01,売上高DI,-,経営動向,-,やや増加,-,0,4060
